date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,28.66,6030.771185151984,23.66,23.66,0
2024-01-02,28.77,6042.239603162001,23.77,47.43,0
2024-01-03,28.67,6053.708021172019,23.67,71.1,0
2024-01-04,28.71,6065.176439182035,23.71,94.81,0
2024-01-05,28.75,6076.644857192053,23.75,118.56,0
2024-01-06,28.71,6088.113275202069,23.71,142.27,0
2024-01-07,29.27,6099.581693212087,24.27,166.54000000000002,0
2024-01-08,29.13,6111.050111222104,24.13,190.67000000000002,0
2024-01-09,29.0,6122.51852923212,24.0,214.67000000000002,0
2024-01-10,29.31,6133.986947242138,24.31,238.98000000000002,0
2024-01-11,28.5,6145.4553652521545,23.5,262.48,0
2024-01-12,28.7,6156.923783262172,23.7,286.18,0
2024-01-13,28.56,6168.392201272189,23.56,309.74,0
2024-01-14,29.22,6179.860619282206,24.22,333.96000000000004,0
2024-01-15,29.06,6191.329037292223,24.06,358.02000000000004,0
2024-01-16,28.8,6202.79745530224,23.8,381.82000000000005,0
2024-01-17,29.41,6214.265873312257,24.41,406.2300000000001,1
2024-01-18,29.33,6142.905600811442,24.33,430.56000000000006,0
2024-01-19,29.17,6071.545328310628,24.17,454.7300000000001,0
2024-01-20,28.56,6000.185055809814,23.56,478.2900000000001,0
2024-01-21,28.37,5928.824783308999,23.37,501.6600000000001,0
2024-01-22,29.19,5857.464510808184,24.19,525.8500000000001,0
2024-01-23,29.37,5786.10423830737,24.37,550.2200000000001,0
2024-01-24,29.02,5714.743965806556,24.02,574.2400000000001,0
2024-01-25,28.71,5643.383693305741,23.71,597.9500000000002,0
2024-01-26,29.46,5572.023420804926,24.46,622.4100000000002,0
2024-01-27,29.6,5500.663148304112,24.6,647.0100000000002,0
2024-01-28,29.86,5429.302875803298,24.86,671.8700000000002,0
2024-01-29,29.65,5357.942603302483,24.65,696.5200000000002,0
2024-01-30,29.77,5286.582330801668,24.77,721.2900000000002,0
2024-01-31,29.41,5215.222058300854,24.41,745.7000000000002,0
2024-02-01,28.72,5143.86178580004,23.72,769.4200000000002,0
2024-02-02,28.65,5072.501513299225,23.65,793.0700000000002,0
2024-02-03,29.39,5142.037453265336,24.39,817.4600000000002,0
2024-02-04,29.26,5211.573393231447,24.26,841.7200000000001,0
2024-02-05,28.44,5281.109333197558,23.44,865.1600000000002,0
2024-02-06,29.03,5350.645273163669,24.03,889.1900000000002,0
2024-02-07,29.23,5420.18121312978,24.23,913.4200000000002,0
2024-02-08,29.34,5489.717153095891,24.34,937.7600000000002,0
2024-02-09,29.69,5559.253093062002,24.69,962.4500000000003,0
2024-02-10,29.56,5628.789033028113,24.56,987.0100000000002,0
2024-02-11,29.03,5698.324972994225,24.03,1011.0400000000002,0
2024-02-12,28.51,5767.8609129603365,23.51,1034.5500000000002,0
2024-02-13,28.43,5837.3968529264475,23.43,1057.9800000000002,0
2024-02-14,28.93,5906.932792892559,23.93,1081.9100000000003,0
2024-02-15,28.05,5976.46873285867,23.05,1104.9600000000003,0
2024-02-16,28.62,6046.004672824781,23.62,1128.5800000000002,0
2024-02-17,28.93,6115.540612790892,23.93,1152.5100000000002,0
2024-02-18,28.77,6185.076552757003,23.77,1176.2800000000002,0
2024-02-19,28.93,6247.605013665413,23.93,1200.2100000000003,0
2024-02-20,29.24,6310.133474573822,24.24,1224.4500000000003,0
2024-02-21,29.22,6372.661935482232,24.22,1248.6700000000003,0
2024-02-22,29.04,6435.1903963906425,24.04,1272.7100000000003,0
2024-02-23,28.77,6497.718857299052,23.77,1296.4800000000002,0
2024-02-24,28.96,6560.247318207462,23.96,1320.4400000000003,0
2024-02-25,29.12,6622.775779115871,24.12,1344.5600000000002,0
2024-02-26,29.07,6685.304240024281,24.07,1368.63,0
2024-02-27,29.18,6747.832700932691,24.18,1392.8100000000002,0
2024-02-28,28.99,6810.3611618411005,23.99,1416.8000000000002,0
2024-02-29,29.45,6872.889622749511,24.45,1441.2500000000002,0
2024-03-01,29.57,6935.41808365792,24.57,1465.8200000000002,0
2024-03-02,29.36,6997.94654456633,24.36,1490.18,0
2024-03-03,29.47,7060.47500547474,24.47,1514.65,0
2024-03-04,29.46,7123.003466383149,24.46,1539.1100000000001,0
2024-03-05,28.95,7185.531927291559,23.95,1563.0600000000002,1
2024-03-06,28.86,7179.548377699583,23.86,1586.92,0
2024-03-07,28.65,7173.564828107608,23.65,1610.5700000000002,0
2024-03-08,28.67,7167.581278515632,23.67,1634.2400000000002,0
2024-03-09,28.93,7161.597728923657,23.93,1658.1700000000003,0
2024-03-10,29.36,7155.614179331681,24.36,1682.5300000000002,0
2024-03-11,29.08,7149.630629739706,24.08,1706.6100000000001,0
2024-03-12,29.19,7143.64708014773,24.19,1730.8000000000002,0
2024-03-13,29.08,7137.663530555754,24.08,1754.88,0
2024-03-14,28.83,7131.679980963779,23.83,1778.71,0
2024-03-15,29.66,7125.696431371803,24.66,1803.3700000000001,0
2024-03-16,29.49,7119.7128817798275,24.49,1827.8600000000001,0
2024-03-17,29.61,7113.7293321878515,24.61,1852.47,0
2024-03-18,29.73,7107.745782595876,24.73,1877.2,0
2024-03-19,29.89,7101.7622330039,24.89,1902.0900000000001,0
2024-03-20,30.2,7095.778683411925,25.2,1927.2900000000002,0
2024-03-21,30.16,7089.795133819949,25.16,1952.4500000000003,0
2024-03-22,29.79,7063.60827867624,24.79,1977.2400000000002,0
2024-03-23,29.56,7037.421423532531,24.56,2001.8000000000002,0
2024-03-24,29.58,7011.234568388822,24.58,2026.38,0
2024-03-25,29.59,6985.047713245112,24.59,2050.9700000000003,0
2024-03-26,29.29,6958.860858101403,24.29,2075.26,0
2024-03-27,28.88,6932.674002957694,23.88,2099.1400000000003,0
2024-03-28,29.42,6906.487147813985,24.42,2123.5600000000004,0
2024-03-29,29.15,6880.300292670276,24.15,2147.7100000000005,0
2024-03-30,29.75,6854.113437526566,24.75,2172.4600000000005,0
2024-03-31,30.12,6827.926582382856,25.12,2197.5800000000004,0
2024-04-01,30.26,6801.739727239147,25.26,2222.8400000000006,0
2024-04-02,30.24,6775.552872095438,25.24,2248.0800000000004,0
2024-04-03,30.04,6749.366016951729,25.04,2273.1200000000003,0
2024-04-04,29.5,6723.17916180802,24.5,2297.6200000000003,0
2024-04-05,29.15,6696.9923066643105,24.15,2321.7700000000004,0
2024-04-06,28.84,6670.805451520601,23.84,2345.6100000000006,0
2024-04-07,29.21,6685.49599606338,24.21,2369.8200000000006,0
2024-04-08,29.42,6700.186540606157,24.42,2394.2400000000007,0
2024-04-09,29.37,6714.877085148935,24.37,2418.6100000000006,0
2024-04-10,29.09,6729.567629691714,24.09,2442.7000000000007,0
2024-04-11,29.19,6744.258174234491,24.19,2466.890000000001,0
2024-04-12,29.42,6758.948718777269,24.42,2491.310000000001,0
2024-04-13,29.83,6773.639263320048,24.83,2516.140000000001,0
2024-04-14,30.04,6788.329807862825,25.04,2541.1800000000007,0
2024-04-15,29.87,6803.020352405603,24.87,2566.0500000000006,0
2024-04-16,29.48,6817.710896948382,24.48,2590.5300000000007,0
2024-04-17,29.31,6832.40144149116,24.31,2614.8400000000006,0
2024-04-18,29.28,6847.091986033937,24.28,2639.120000000001,0
2024-04-19,29.54,6861.7825305767155,24.54,2663.6600000000008,0
2024-04-20,29.43,6876.473075119494,24.43,2688.0900000000006,0
2024-04-21,29.49,6891.163619662271,24.49,2712.5800000000004,0
2024-04-22,29.32,6905.8541642050495,24.32,2736.9000000000005,0
2024-04-23,28.83,6939.957409964577,23.83,2760.7300000000005,0
2024-04-24,29.21,6974.060655724105,24.21,2784.9400000000005,0
2024-04-25,29.49,7008.163901483633,24.49,2809.4300000000003,0
2024-04-26,29.6,7042.267147243161,24.6,2834.03,0
2024-04-27,29.61,7076.370393002689,24.61,2858.6400000000003,0
2024-04-28,29.83,7110.473638762216,24.83,2883.4700000000003,0
2024-04-29,29.88,7144.576884521744,24.88,2908.3500000000004,0
2024-04-30,29.89,7178.680130281272,24.89,2933.2400000000002,0
2024-05-01,29.72,7212.783376040799,24.72,2957.96,0
2024-05-02,29.7,7246.886621800328,24.7,2982.66,0
2024-05-03,29.39,7280.989867559855,24.39,3007.0499999999997,0
2024-05-04,29.42,7315.093113319383,24.42,3031.47,0
2024-05-05,28.86,7349.196359078911,23.86,3055.33,0
2024-05-06,29.49,7383.299604838438,24.49,3079.8199999999997,0
2024-05-07,29.12,7417.402850597967,24.12,3103.9399999999996,0
2024-05-08,29.21,7451.506096357494,24.21,3128.1499999999996,1
2024-05-09,28.81,7448.53280877653,23.81,3151.9599999999996,0
2024-05-10,28.06,7445.559521195566,23.06,3175.0199999999995,0
2024-05-11,28.19,7442.586233614602,23.19,3198.2099999999996,0
2024-05-12,28.85,7439.612946033638,23.85,3222.0599999999995,0
