date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,-0.03,4084.650600885515,0.0,0.0,0
2024-01-02,0.58,4176.288957410921,0.0,0.0,0
2024-01-03,3.03,4267.927313936327,0.0,0.0,0
2024-01-04,1.52,4359.565670461733,0.0,0.0,0
2024-01-05,-0.43,4451.204026987139,0.0,0.0,0
2024-01-06,-3.15,4542.842383512545,0.0,0.0,0
2024-01-07,-5.42,4634.48074003795,0.0,0.0,0
2024-01-08,-7.46,4726.119096563357,0.0,0.0,0
2024-01-09,-4.26,4817.757453088763,0.0,0.0,0
2024-01-10,-2.67,4909.395809614169,0.0,0.0,0
2024-01-11,-4.18,5001.034166139575,0.0,0.0,0
2024-01-12,-1.11,5092.6725226649805,0.0,0.0,0
2024-01-13,1.99,5184.310879190387,0.0,0.0,0
2024-01-14,3.32,5275.949235715792,0.0,0.0,0
2024-01-15,2.18,5367.587592241199,0.0,0.0,0
2024-01-16,3.96,5459.225948766605,0.0,0.0,0
2024-01-17,3.52,5550.864305292011,0.0,0.0,0
2024-01-18,2.31,5551.8439488612285,0.0,0.0,0
2024-01-19,-3.41,5552.823592430446,0.0,0.0,0
2024-01-20,-2.81,5553.803235999663,0.0,0.0,0
2024-01-21,-0.11,5554.782879568881,0.0,0.0,0
2024-01-22,3.83,5555.762523138099,0.0,0.0,0
2024-01-23,3.79,5556.742166707317,0.0,0.0,0
2024-01-24,8.39,5557.721810276535,3.3900000000000006,3.3900000000000006,0
2024-01-25,8.66,5558.7014538457515,3.66,7.050000000000001,0
2024-01-26,7.25,5559.681097414969,2.25,9.3,0
2024-01-27,7.31,5560.660740984187,2.3099999999999996,11.61,0
2024-01-28,3.64,5561.640384553405,0.0,11.61,0
2024-01-29,2.41,5562.620028122623,0.0,11.61,0
2024-01-30,5.09,5563.599671691841,0.08999999999999986,11.7,0
2024-01-31,5.26,5564.579315261058,0.2599999999999998,11.959999999999999,0
2024-02-01,2.23,5565.5589588302755,0.0,11.959999999999999,0
2024-02-02,2.41,5566.538602399493,0.0,11.959999999999999,1
2024-02-03,6.86,5522.994247263732,1.8600000000000003,13.82,0
2024-02-04,7.67,5479.449892127972,2.67,16.490000000000002,0
2024-02-05,8.08,5435.905536992211,3.08,19.57,0
2024-02-06,4.61,5392.36118185645,0.0,19.57,0
2024-02-07,3.71,5348.816826720688,0.0,19.57,0
2024-02-08,3.25,5305.272471584927,0.0,19.57,0
2024-02-09,1.74,5261.728116449167,0.0,19.57,0
2024-02-10,-0.35,5218.183761313406,0.0,19.57,0
2024-02-11,-1.6,5174.639406177645,0.0,19.57,0
2024-02-12,0.77,5131.095051041884,0.0,19.57,0
2024-02-13,3.73,5087.550695906123,0.0,19.57,0
2024-02-14,5.43,5044.006340770362,0.4299999999999997,20.0,0
2024-02-15,5.78,5000.461985634601,0.7800000000000002,20.78,0
2024-02-16,2.06,4956.91763049884,0.0,20.78,0
2024-02-17,1.77,4913.373275363079,0.0,20.78,0
2024-02-18,4.88,4869.828920227318,0.0,20.78,0
2024-02-19,2.43,4860.325632761522,0.0,20.78,0
2024-02-20,1.24,4850.822345295725,0.0,20.78,0
2024-02-21,5.33,4841.319057829928,0.33000000000000007,21.11,0
2024-02-22,4.66,4831.815770364132,0.0,21.11,0
2024-02-23,-2.1,4822.3124828983355,0.0,21.11,0
2024-02-24,-2.39,4812.809195432539,0.0,21.11,0
2024-02-25,-0.11,4803.305907966743,0.0,21.11,0
2024-02-26,0.71,4793.802620500946,0.0,21.11,0
2024-02-27,-2.17,4784.299333035149,0.0,21.11,0
