date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,30.0,7612.526806606166,25.0,25.0,0
2024-01-02,29.16,7580.591639605307,24.16,49.16,0
2024-01-03,28.43,7548.656472604448,23.43,72.59,0
2024-01-04,29.03,7516.721305603589,24.03,96.62,0
2024-01-05,29.93,7484.78613860273,24.93,121.55000000000001,0
2024-01-06,29.42,7452.850971601871,24.42,145.97000000000003,0
2024-01-07,29.24,7420.915804601012,24.24,170.21000000000004,0
2024-01-08,28.93,7388.9806376001525,23.93,194.14000000000004,0
2024-01-09,29.33,7357.045470599293,24.33,218.47000000000003,0
2024-01-10,29.35,7325.110303598434,24.35,242.82000000000002,0
2024-01-11,29.4,7293.175136597575,24.4,267.22,0
2024-01-12,30.0,7261.239969596716,25.0,292.22,0
2024-01-13,30.53,7229.304802595857,25.53,317.75,0
2024-01-14,29.17,7197.369635594998,24.17,341.92,0
2024-01-15,28.68,7165.434468594139,23.68,365.6,0
2024-01-16,28.73,7133.49930159328,23.73,389.33000000000004,0
2024-01-17,29.31,7101.5641345924205,24.31,413.64000000000004,0
2024-01-18,29.75,7123.349096899104,24.75,438.39000000000004,0
2024-01-19,29.58,7145.134059205787,24.58,462.97,0
2024-01-20,29.49,7166.91902151247,24.49,487.46000000000004,0
2024-01-21,29.19,7188.703983819153,24.19,511.65000000000003,0
2024-01-22,29.26,7210.488946125836,24.26,535.9100000000001,0
2024-01-23,29.93,7232.273908432519,24.93,560.84,0
2024-01-24,30.65,7254.058870739203,25.65,586.49,0
2024-01-25,30.43,7275.843833045885,25.43,611.92,0
2024-01-26,31.1,7297.628795352568,26.1,638.02,0
2024-01-27,30.82,7319.413757659251,25.82,663.84,0
2024-01-28,31.11,7341.198719965934,26.11,689.95,0
2024-01-29,30.51,7362.983682272617,25.51,715.46,0
2024-01-30,30.16,7384.768644579301,25.16,740.62,0
2024-01-31,28.63,7406.553606885984,23.63,764.25,0
2024-02-01,29.06,7428.338569192667,24.06,788.31,0
2024-02-02,30.48,7450.12353149935,25.48,813.79,1
2024-02-03,30.56,7429.05916992742,25.56,839.3499999999999,0
2024-02-04,30.13,7407.99480835549,25.13,864.4799999999999,0
2024-02-05,30.37,7386.930446783561,25.37,889.8499999999999,0
2024-02-06,28.25,7365.866085211631,23.25,913.0999999999999,0
2024-02-07,29.01,7344.801723639701,24.01,937.1099999999999,0
2024-02-08,30.96,7323.737362067771,25.96,963.0699999999999,0
2024-02-09,31.3,7302.673000495841,26.3,989.3699999999999,0
2024-02-10,31.02,7281.608638923912,26.02,1015.3899999999999,0
2024-02-11,29.28,7260.544277351982,24.28,1039.6699999999998,0
2024-02-12,31.21,7239.479915780052,26.21,1065.8799999999999,0
2024-02-13,30.91,7218.415554208122,25.91,1091.79,0
2024-02-14,28.81,7197.351192636192,23.81,1115.6,0
2024-02-15,28.94,7176.286831064262,23.94,1139.54,0
2024-02-16,29.57,7155.2224694923325,24.57,1164.11,0
2024-02-17,28.7,7134.1581079204025,23.7,1187.81,0
2024-02-18,30.36,7113.093746348472,25.36,1213.1699999999998,0
2024-02-19,29.55,7154.290876231778,24.55,1237.7199999999998,0
2024-02-20,29.56,7195.488006115083,24.56,1262.2799999999997,0
2024-02-21,29.43,7236.685135998389,24.43,1286.7099999999998,0
2024-02-22,29.25,7277.882265881695,24.25,1310.9599999999998,0
2024-02-23,27.78,7319.079395765,22.78,1333.7399999999998,0
2024-02-24,27.85,7360.276525648306,22.85,1356.5899999999997,0
2024-02-25,26.9,7401.473655531611,21.9,1378.4899999999998,0
2024-02-26,27.23,7442.670785414917,22.23,1400.7199999999998,0
2024-02-27,28.86,7483.867915298223,23.86,1424.5799999999997,0
2024-02-28,29.55,7525.065045181528,24.55,1449.1299999999997,0
2024-02-29,30.39,7566.262175064834,25.39,1474.5199999999998,0
2024-03-01,28.09,7607.459304948139,23.09,1497.6099999999997,0
2024-03-02,29.47,7648.656434831445,24.47,1522.0799999999997,0
2024-03-03,30.69,7689.853564714751,25.69,1547.7699999999998,0
2024-03-04,29.71,7731.050694598056,24.71,1572.4799999999998,0
2024-03-05,29.71,7772.247824481362,24.71,1597.1899999999998,0
2024-03-06,30.21,7781.428810551665,25.21,1622.3999999999999,0
2024-03-07,29.2,7790.609796621968,24.2,1646.6,0
2024-03-08,29.9,7799.790782692271,24.9,1671.5,0
2024-03-09,29.23,7808.971768762574,24.23,1695.73,0
2024-03-10,28.66,7818.152754832877,23.66,1719.39,0
2024-03-11,29.87,7827.33374090318,24.87,1744.26,0
2024-03-12,30.32,7836.5147269734825,25.32,1769.58,0
2024-03-13,30.59,7845.695713043786,25.59,1795.1699999999998,0
2024-03-14,30.35,7854.876699114089,25.35,1820.5199999999998,0
2024-03-15,29.77,7864.057685184392,24.77,1845.2899999999997,0
2024-03-16,30.9,7873.238671254695,25.9,1871.1899999999998,0
2024-03-17,30.91,7882.419657324997,25.91,1897.1,0
2024-03-18,29.41,7891.600643395301,24.41,1921.51,0
2024-03-19,29.59,7900.781629465604,24.59,1946.1,0
2024-03-20,29.46,7909.9626155359065,24.46,1970.56,0
2024-03-21,28.23,7919.14360160621,23.23,1993.79,1
2024-03-22,27.09,7872.410334417611,22.09,2015.8799999999999,0
2024-03-23,27.54,7825.677067229013,22.54,2038.4199999999998,0
2024-03-24,28.86,7778.943800040414,23.86,2062.2799999999997,0
2024-03-25,29.18,7732.210532851816,24.18,2086.4599999999996,0
2024-03-26,28.27,7685.477265663218,23.27,2109.7299999999996,0
2024-03-27,28.76,7638.74399847462,23.76,2133.49,0
2024-03-28,29.86,7592.010731286021,24.86,2158.35,0
2024-03-29,28.69,7545.277464097422,23.69,2182.04,0
2024-03-30,27.86,7498.544196908824,22.86,2204.9,0
2024-03-31,28.77,7451.810929720225,23.77,2228.67,0
2024-04-01,28.27,7405.0776625316275,23.27,2251.94,0
2024-04-02,29.27,7358.344395343029,24.27,2276.21,0
2024-04-03,29.43,7311.611128154431,24.43,2300.64,0
2024-04-04,27.89,7264.877860965832,22.89,2323.5299999999997,0
2024-04-05,27.84,7218.144593777233,22.84,2346.37,0
2024-04-06,28.7,7171.411326588635,23.7,2370.0699999999997,0
2024-04-07,27.77,7223.371779039789,22.77,2392.8399999999997,0
2024-04-08,26.84,7275.332231490942,21.84,2414.68,0
2024-04-09,27.79,7327.292683942096,22.79,2437.47,0
2024-04-10,28.58,7379.253136393249,23.58,2461.0499999999997,0
2024-04-11,28.55,7431.213588844403,23.55,2484.6,0
2024-04-12,27.48,7483.174041295557,22.48,2507.08,0
2024-04-13,27.86,7535.13449374671,22.86,2529.94,0
2024-04-14,28.21,7587.0949461978635,23.21,2553.15,0
2024-04-15,28.61,7639.055398649017,23.61,2576.76,0
2024-04-16,28.57,7691.01585110017,23.57,2600.3300000000004,0
2024-04-17,29.19,7742.976303551324,24.19,2624.5200000000004,0
2024-04-18,29.48,7794.9367560024775,24.48,2649.0000000000005,0
2024-04-19,29.9,7846.897208453631,24.9,2673.9000000000005,0
2024-04-20,28.61,7898.857660904785,23.61,2697.5100000000007,0
2024-04-21,28.32,7950.818113355938,23.32,2720.830000000001,0
2024-04-22,28.88,8002.778565807092,23.88,2744.710000000001,1
2024-04-23,28.04,7983.404714976286,23.04,2767.750000000001,0
2024-04-24,28.34,7964.03086414548,23.34,2791.090000000001,0
2024-04-25,28.19,7944.657013314675,23.19,2814.280000000001,0
2024-04-26,28.55,7925.28316248387,23.55,2837.8300000000013,0
2024-04-27,29.44,7905.909311653064,24.44,2862.2700000000013,0
2024-04-28,29.67,7886.535460822259,24.67,2886.9400000000014,0
2024-04-29,30.09,7867.161609991454,25.09,2912.0300000000016,0
2024-04-30,30.33,7847.787759160648,25.33,2937.3600000000015,0
2024-05-01,30.2,7828.413908329842,25.2,2962.5600000000013,0
2024-05-02,29.82,7809.040057499037,24.82,2987.3800000000015,0
2024-05-03,29.78,7789.666206668232,24.78,3012.1600000000017,0
2024-05-04,29.36,7770.292355837426,24.36,3036.520000000002,0
2024-05-05,29.78,7750.918505006621,24.78,3061.300000000002,0
2024-05-06,30.21,7731.544654175816,25.21,3086.510000000002,0
2024-05-07,30.5,7712.1708033450095,25.5,3112.010000000002,0
2024-05-08,30.27,7692.796952514204,25.27,3137.280000000002,0
2024-05-09,30.24,7617.778343815136,25.24,3162.520000000002,0
2024-05-10,30.89,7542.7597351160675,25.89,3188.4100000000017,0
2024-05-11,30.99,7467.741126417,25.99,3214.4000000000015,0
2024-05-12,30.82,7392.722517717932,25.82,3240.2200000000016,0
2024-05-13,30.42,7317.703909018863,25.42,3265.6400000000017,0
2024-05-14,29.81,7242.685300319795,24.81,3290.4500000000016,0
2024-05-15,29.83,7167.666691620726,24.83,3315.2800000000016,0
2024-05-16,30.11,7092.648082921658,25.11,3340.3900000000017,0
2024-05-17,30.08,7017.62947422259,25.08,3365.4700000000016,0
2024-05-18,29.83,6942.610865523521,24.83,3390.3000000000015,0
2024-05-19,29.78,6867.592256824453,24.78,3415.0800000000017,0
2024-05-20,30.23,6792.573648125384,25.23,3440.3100000000018,0
2024-05-21,29.95,6717.555039426316,24.95,3465.2600000000016,0
2024-05-22,29.16,6642.536430727248,24.16,3489.4200000000014,0
2024-05-23,28.78,6567.51782202818,23.78,3513.2000000000016,0
2024-05-24,28.56,6492.499213329112,23.56,3536.7600000000016,0
2024-05-25,28.9,6503.21371736795,23.9,3560.6600000000017,0
2024-05-26,29.32,6513.928221406788,24.32,3584.980000000002,0
2024-05-27,29.68,6524.642725445627,24.68,3609.6600000000017,0
2024-05-28,29.49,6535.357229484465,24.49,3634.1500000000015,0
2024-05-29,29.17,6546.071733523304,24.17,3658.3200000000015,0
2024-05-30,28.77,6556.786237562143,23.77,3682.0900000000015,0
2024-05-31,27.62,6567.50074160098,22.62,3704.7100000000014,0
2024-06-01,26.48,6578.215245639819,21.48,3726.1900000000014,0
2024-06-02,26.31,6588.929749678658,21.31,3747.5000000000014,0
2024-06-03,26.44,6599.644253717495,21.44,3768.9400000000014,0
2024-06-04,26.21,6610.358757756334,21.21,3790.1500000000015,0
2024-06-05,26.11,6621.073261795173,21.11,3811.2600000000016,0
2024-06-06,25.91,6631.787765834011,20.91,3832.1700000000014,0
2024-06-07,25.56,6642.50226987285,20.56,3852.7300000000014,0
2024-06-08,26.07,6653.216773911688,21.07,3873.8000000000015,0
2024-06-09,26.7,6663.931277950526,21.7,3895.5000000000014,1
2024-06-10,27.96,6572.117633738375,22.96,3918.4600000000014,0
2024-06-11,27.74,6480.3039895262245,22.74,3941.200000000001,0
2024-06-12,26.97,6388.490345314073,21.97,3963.170000000001,0
2024-06-13,26.61,6296.676701101922,21.61,3984.780000000001,0
2024-06-14,26.97,6204.863056889771,21.97,4006.750000000001,0
2024-06-15,26.77,6113.049412677619,21.77,4028.520000000001,0
2024-06-16,26.57,6021.235768465469,21.57,4050.090000000001,0
2024-06-17,26.03,5929.422124253318,21.03,4071.1200000000013,0
2024-06-18,26.01,5837.608480041166,21.01,4092.1300000000015,0
2024-06-19,25.3,5745.794835829016,20.3,4112.430000000001,0
2024-06-20,25.32,5653.981191616865,20.32,4132.750000000001,0
2024-06-21,24.87,5562.167547404713,19.87,4152.620000000001,0
2024-06-22,25.57,5470.353903192562,20.57,4173.1900000000005,0
2024-06-23,26.18,5378.540258980411,21.18,4194.370000000001,0
2024-06-24,26.15,5286.72661476826,21.15,4215.52,0
2024-06-25,26.55,5194.912970556109,21.55,4237.070000000001,0
2024-06-26,26.21,5165.039983934857,21.21,4258.280000000001,0
2024-06-27,26.54,5135.166997313606,21.54,4279.820000000001,0
2024-06-28,26.61,5105.294010692354,21.61,4301.43,0
2024-06-29,26.49,5075.421024071103,21.49,4322.92,0
2024-06-30,26.19,5045.548037449851,21.19,4344.11,0
2024-07-01,25.94,5015.6750508285995,20.94,4365.049999999999,0
2024-07-02,25.86,4985.802064207348,20.86,4385.909999999999,0
2024-07-03,25.08,4955.929077586095,20.08,4405.989999999999,0
2024-07-04,24.98,4926.056090964844,19.98,4425.969999999998,0
2024-07-05,25.23,4896.183104343592,20.23,4446.199999999998,0
2024-07-06,24.33,4866.310117722341,19.33,4465.529999999998,0
2024-07-07,24.57,4836.437131101089,19.57,4485.099999999998,0
2024-07-08,24.28,4806.5641444798375,19.28,4504.379999999997,0
2024-07-09,24.42,4776.691157858586,19.42,4523.799999999997,0
2024-07-10,24.35,4746.818171237334,19.35,4543.149999999998,0
2024-07-11,24.21,4716.945184616083,19.21,4562.359999999998,0
2024-07-12,23.82,4704.905143043345,18.82,4581.179999999998,0
2024-07-13,23.79,4692.865101470607,18.79,4599.9699999999975,0
2024-07-14,23.93,4680.825059897869,18.93,4618.899999999998,0
2024-07-15,24.38,4668.785018325131,19.38,4638.279999999998,0
2024-07-16,23.79,4656.744976752394,18.79,4657.069999999998,0
2024-07-17,24.03,4644.704935179656,19.03,4676.099999999998,0
2024-07-18,24.24,4632.664893606918,19.24,4695.339999999997,0
2024-07-19,24.15,4620.62485203418,19.15,4714.489999999997,0
2024-07-20,23.41,4608.584810461442,18.41,4732.899999999997,0
2024-07-21,23.51,4596.544768888704,18.51,4751.409999999997,0
2024-07-22,24.32,4584.504727315966,19.32,4770.729999999997,0
2024-07-23,24.88,4572.464685743229,19.88,4790.609999999997,0
2024-07-24,24.42,4560.424644170491,19.42,4810.029999999997,0
2024-07-25,24.41,4548.384602597753,19.41,4829.439999999997,0
2024-07-26,24.44,4536.3445610250155,19.44,4848.8799999999965,0
2024-07-27,24.15,4524.304519452277,19.15,4868.029999999996,0
2024-07-28,23.56,4500.334574735991,18.56,4886.5899999999965,0
2024-07-29,23.16,4476.364630019705,18.16,4904.749999999996,0
2024-07-30,22.49,4452.3946853034195,17.49,4922.239999999996,0
2024-07-31,23.26,4428.424740587133,18.26,4940.499999999996,0
2024-08-01,23.39,4404.454795870846,18.39,4958.889999999997,0
2024-08-02,23.71,4380.484851154561,18.71,4977.599999999997,0
2024-08-03,23.53,4356.514906438275,18.53,4996.1299999999965,0
2024-08-04,23.35,4332.544961721988,18.35,5014.479999999997,0
2024-08-05,23.3,4308.575017005702,18.3,5032.779999999997,0
2024-08-06,23.39,4284.605072289416,18.39,5051.169999999997,0
2024-08-07,23.83,4260.63512757313,18.83,5069.999999999997,0
2024-08-08,24.12,4236.665182856844,19.12,5089.119999999997,0
2024-08-09,23.81,4212.695238140557,18.81,5107.929999999998,0
2024-08-10,22.87,4188.7252934242715,17.87,5125.799999999997,0
2024-08-11,23.94,4164.755348707986,18.94,5144.739999999997,0
2024-08-12,24.03,4140.785403991699,19.03,5163.769999999997,0
2024-08-13,24.33,4238.989046989721,19.33,5183.099999999997,0
2024-08-14,24.1,4337.1926899877435,19.1,5202.199999999997,0
2024-08-15,24.85,4435.396332985765,19.85,5222.049999999997,0
2024-08-16,24.97,4533.599975983787,19.97,5242.019999999998,0
2024-08-17,24.19,4631.803618981809,19.19,5261.209999999997,0
2024-08-18,24.89,4730.007261979831,19.89,5281.099999999998,0
2024-08-19,24.85,4828.210904977853,19.85,5300.949999999998,0
2024-08-20,25.33,4926.414547975875,20.33,5321.279999999998,0
2024-08-21,24.96,5024.618190973897,19.96,5341.239999999998,0
2024-08-22,25.06,5122.821833971919,20.06,5361.299999999998,0
2024-08-23,25.31,5221.02547696994,20.31,5381.609999999999,0
2024-08-24,24.36,5319.229119967963,19.36,5400.969999999998,0
2024-08-25,24.52,5417.432762965985,19.52,5420.489999999999,0
2024-08-26,24.9,5515.636405964007,19.9,5440.3899999999985,0
2024-08-27,24.92,5613.840048962029,19.92,5460.309999999999,0
2024-08-28,24.79,5712.043691960051,19.79,5480.0999999999985,1
2024-08-29,25.38,5635.6293241463045,20.38,5500.479999999999,0
2024-08-30,25.07,5559.214956332558,20.07,5520.549999999998,0
2024-08-31,24.87,5482.800588518812,19.87,5540.419999999998,0
2024-09-01,26.0,5406.386220705066,21.0,5561.419999999998,0
2024-09-02,27.09,5329.971852891319,22.09,5583.509999999998,0
2024-09-03,26.76,5253.557485077573,21.76,5605.269999999999,0
2024-09-04,26.4,5177.143117263827,21.4,5626.669999999998,0
2024-09-05,26.48,5100.728749450081,21.48,5648.149999999998,0
