date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,26.44,7107.0277353300735,21.44,21.44,0
2024-01-02,26.76,7082.052096356238,21.76,43.2,0
2024-01-03,27.04,7057.076457382402,22.04,65.24000000000001,0
2024-01-04,27.16,7032.100818408566,22.16,87.4,0
2024-01-05,27.28,7007.12517943473,22.28,109.68,0
2024-01-06,26.8,6982.149540460894,21.8,131.48000000000002,0
2024-01-07,27.25,6957.173901487058,22.25,153.73000000000002,0
2024-01-08,27.25,6932.198262513222,22.25,175.98000000000002,0
2024-01-09,27.18,6907.222623539386,22.18,198.16000000000003,0
2024-01-10,26.96,6882.246984565551,21.96,220.12000000000003,0
2024-01-11,26.97,6857.2713455917155,21.97,242.09000000000003,0
2024-01-12,26.88,6832.29570661788,21.88,263.97,0
2024-01-13,26.79,6807.320067644044,21.79,285.76000000000005,0
2024-01-14,27.03,6782.344428670208,22.03,307.7900000000001,0
2024-01-15,26.95,6757.368789696372,21.95,329.74000000000007,0
2024-01-16,27.0,6732.393150722536,22.0,351.74000000000007,0
2024-01-17,27.15,6707.4175117487,22.15,373.89000000000004,0
2024-01-18,27.12,6689.781436251748,22.12,396.01000000000005,0
2024-01-19,27.19,6672.1453607547965,22.19,418.20000000000005,0
2024-01-20,27.34,6654.509285257845,22.34,440.54,0
2024-01-21,27.36,6636.873209760893,22.36,462.90000000000003,0
2024-01-22,27.17,6619.237134263941,22.17,485.07000000000005,0
2024-01-23,26.91,6601.601058766989,21.91,506.9800000000001,0
2024-01-24,26.5,6583.964983270037,21.5,528.48,0
2024-01-25,26.41,6566.328907773084,21.41,549.89,0
2024-01-26,26.59,6548.692832276132,21.59,571.48,0
2024-01-27,26.46,6531.05675677918,21.46,592.94,0
2024-01-28,26.11,6513.4206812822285,21.11,614.0500000000001,0
2024-01-29,26.73,6495.784605785277,21.73,635.7800000000001,0
2024-01-30,26.81,6478.148530288325,21.81,657.59,0
2024-01-31,26.47,6460.512454791373,21.47,679.0600000000001,0
2024-02-01,26.37,6442.876379294421,21.37,700.4300000000001,0
2024-02-02,26.0,6425.240303797469,21.0,721.4300000000001,0
2024-02-03,26.06,6441.223102402412,21.06,742.49,0
2024-02-04,26.75,6457.205901007355,21.75,764.24,0
2024-02-05,27.29,6473.188699612298,22.29,786.53,0
2024-02-06,27.43,6489.171498217241,22.43,808.9599999999999,0
2024-02-07,26.88,6505.154296822184,21.88,830.8399999999999,0
2024-02-08,24.14,6521.137095427126,19.14,849.9799999999999,0
2024-02-09,24.88,6537.119894032069,19.88,869.8599999999999,0
2024-02-10,25.41,6553.102692637012,20.41,890.2699999999999,0
