date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,26.79,6734.1714201086415,21.79,21.79,0
2024-01-02,26.9,6735.826288827225,21.9,43.69,0
2024-01-03,27.48,6737.481157545807,22.48,66.17,0
2024-01-04,27.43,6739.13602626439,22.43,88.6,0
2024-01-05,27.36,6740.7908949829725,22.36,110.96,0
2024-01-06,26.95,6742.445763701556,21.95,132.91,0
2024-01-07,27.17,6744.100632420139,22.17,155.07999999999998,0
2024-01-08,27.57,6745.755501138721,22.57,177.64999999999998,0
2024-01-09,27.21,6747.410369857304,22.21,199.85999999999999,0
2024-01-10,26.85,6749.065238575888,21.85,221.70999999999998,0
2024-01-11,26.86,6750.72010729447,21.86,243.57,0
2024-01-12,26.92,6752.374976013053,21.92,265.49,0
2024-01-13,26.73,6754.029844731636,21.73,287.22,0
2024-01-14,26.96,6755.684713450219,21.96,309.18,0
2024-01-15,26.93,6757.339582168802,21.93,331.11,0
2024-01-16,26.89,6758.994450887384,21.89,353.0,0
2024-01-17,27.16,6760.649319605967,22.16,375.16,1
2024-01-18,27.14,6730.519714326711,22.14,397.3,0
2024-01-19,27.17,6700.390109047456,22.17,419.47,0
2024-01-20,27.24,6670.260503768201,22.24,441.71000000000004,0
2024-01-21,27.28,6640.130898488945,22.28,463.99,0
2024-01-22,27.04,6610.001293209689,22.04,486.03000000000003,0
2024-01-23,26.96,6579.871687930433,21.96,507.99,0
2024-01-24,26.56,6549.742082651177,21.56,529.55,0
2024-01-25,26.45,6519.612477371922,21.45,551.0,0
2024-01-26,26.53,6489.482872092666,21.53,572.53,0
2024-01-27,26.42,6459.35326681341,21.42,593.9499999999999,0
2024-01-28,26.22,6429.223661534154,21.22,615.17,0
2024-01-29,26.48,6399.0940562548985,21.48,636.65,0
2024-01-30,26.71,6368.964450975643,21.71,658.36,0
2024-01-31,26.29,6338.834845696388,21.29,679.65,0
2024-02-01,26.7,6308.705240417132,21.7,701.35,0
2024-02-02,26.22,6278.575635137876,21.22,722.57,0
2024-02-03,26.21,6294.4732097669,21.21,743.7800000000001,0
2024-02-04,26.84,6310.370784395925,21.84,765.6200000000001,0
2024-02-05,27.32,6326.26835902495,22.32,787.9400000000002,0
2024-02-06,27.55,6342.165933653974,22.55,810.4900000000001,0
2024-02-07,27.47,6358.063508282999,22.47,832.9600000000002,0
2024-02-08,24.45,6373.961082912023,19.45,852.4100000000002,0
2024-02-09,24.48,6389.858657541047,19.48,871.8900000000002,0
2024-02-10,25.43,6405.756232170072,20.43,892.3200000000002,0
2024-02-11,25.6,6421.653806799097,20.6,912.9200000000002,0
2024-02-12,26.01,6437.551381428121,21.01,933.9300000000002,0
2024-02-13,26.3,6453.448956057146,21.3,955.2300000000001,0
2024-02-14,26.54,6469.34653068617,21.54,976.7700000000001,0
2024-02-15,26.49,6485.244105315194,21.49,998.2600000000001,0
2024-02-16,26.35,6501.1416799442195,21.35,1019.6100000000001,0
2024-02-17,26.5,6517.039254573244,21.5,1041.1100000000001,0
2024-02-18,26.58,6532.936829202268,21.58,1062.69,1
2024-02-19,26.82,6523.8870092178095,21.82,1084.51,0
2024-02-20,26.54,6514.837189233351,21.54,1106.05,0
2024-02-21,26.66,6505.787369248891,21.66,1127.71,0
2024-02-22,26.23,6496.737549264432,21.23,1148.94,0
2024-02-23,25.82,6487.687729279974,20.82,1169.76,0
2024-02-24,26.82,6478.637909295514,21.82,1191.58,0
2024-02-25,26.93,6469.588089311055,21.93,1213.51,0
2024-02-26,26.85,6460.5382693265965,21.85,1235.36,0
2024-02-27,26.55,6451.488449342138,21.55,1256.9099999999999,0
2024-02-28,26.59,6442.438629357679,21.59,1278.4999999999998,0
2024-02-29,26.62,6433.388809373219,21.62,1300.1199999999997,0
2024-03-01,26.4,6424.338989388761,21.4,1321.5199999999998,0
2024-03-02,26.0,6415.289169404302,21.0,1342.5199999999998,0
2024-03-03,26.14,6406.239349419842,21.14,1363.6599999999999,0
2024-03-04,26.08,6397.1895294353835,21.08,1384.7399999999998,0
2024-03-05,25.92,6388.139709450925,20.92,1405.6599999999999,0
2024-03-06,26.45,6362.454613234472,21.45,1427.11,0
2024-03-07,26.98,6336.769517018019,21.98,1449.09,0
2024-03-08,27.0,6311.084420801566,22.0,1471.09,0
2024-03-09,26.72,6285.3993245851125,21.72,1492.81,0
2024-03-10,26.7,6259.71422836866,21.7,1514.51,0
2024-03-11,26.82,6234.029132152207,21.82,1536.33,0
2024-03-12,26.45,6208.344035935754,21.45,1557.78,0
2024-03-13,26.62,6182.658939719301,21.62,1579.3999999999999,0
2024-03-14,26.86,6156.9738435028485,21.86,1601.2599999999998,0
2024-03-15,26.77,6131.288747286395,21.77,1623.0299999999997,0
2024-03-16,26.97,6105.603651069942,21.97,1644.9999999999998,0
2024-03-17,27.48,6079.91855485349,22.48,1667.4799999999998,0
2024-03-18,27.58,6054.233458637036,22.58,1690.0599999999997,0
2024-03-19,27.58,6028.5483624205835,22.58,1712.6399999999996,0
2024-03-20,27.67,6002.86326620413,22.67,1735.3099999999997,0
2024-03-21,27.01,5977.178169987677,22.01,1757.3199999999997,0
2024-03-22,26.97,5958.204358289713,21.97,1779.2899999999997,0
2024-03-23,27.21,5939.23054659175,22.21,1801.4999999999998,0
2024-03-24,27.49,5920.2567348937855,22.49,1823.9899999999998,0
2024-03-25,27.43,5901.282923195822,22.43,1846.4199999999998,0
2024-03-26,27.04,5882.309111497858,22.04,1868.4599999999998,0
2024-03-27,26.35,5863.3352997998945,21.35,1889.8099999999997,0
2024-03-28,26.49,5844.36148810193,21.49,1911.2999999999997,0
2024-03-29,27.04,5825.387676403967,22.04,1933.3399999999997,0
2024-03-30,26.6,5806.413864706003,21.6,1954.9399999999996,0
2024-03-31,26.52,5787.440053008038,21.52,1976.4599999999996,0
2024-04-01,26.76,5768.466241310075,21.76,1998.2199999999996,0
2024-04-02,26.52,5749.492429612111,21.52,2019.7399999999996,0
2024-04-03,26.55,5730.518617914147,21.55,2041.2899999999995,0
2024-04-04,26.92,5711.544806216183,21.92,2063.2099999999996,0
2024-04-05,27.82,5692.57099451822,22.82,2086.0299999999997,0
2024-04-06,27.89,5673.5971828202555,22.89,2108.9199999999996,0
2024-04-07,27.9,5698.958767241996,22.9,2131.8199999999997,0
2024-04-08,27.9,5724.320351663737,22.9,2154.72,0
2024-04-09,26.41,5749.681936085477,21.41,2176.1299999999997,0
2024-04-10,27.05,5775.043520507217,22.05,2198.18,0
2024-04-11,27.17,5800.405104928957,22.17,2220.35,0
2024-04-12,27.18,5825.766689350698,22.18,2242.5299999999997,0
2024-04-13,27.07,5851.128273772439,22.07,2264.6,0
2024-04-14,27.24,5876.489858194179,22.24,2286.8399999999997,0
2024-04-15,27.47,5901.851442615919,22.47,2309.3099999999995,0
2024-04-16,27.5,5927.21302703766,22.5,2331.8099999999995,0
2024-04-17,27.71,5952.5746114594,22.71,2354.5199999999995,0
2024-04-18,27.44,5977.9361958811405,22.44,2376.9599999999996,0
2024-04-19,27.69,6003.297780302881,22.69,2399.6499999999996,0
2024-04-20,27.54,6028.659364724621,22.54,2422.1899999999996,0
2024-04-21,27.66,6054.020949146362,22.66,2444.8499999999995,0
2024-04-22,27.85,6079.382533568102,22.85,2467.6999999999994,1
2024-04-23,28.14,6069.016197420345,23.14,2490.8399999999992,0
2024-04-24,27.85,6058.649861272588,22.85,2513.689999999999,0
2024-04-25,27.47,6048.283525124831,22.47,2536.159999999999,0
2024-04-26,27.37,6037.917188977073,22.37,2558.529999999999,0
2024-04-27,27.36,6027.550852829316,22.36,2580.889999999999,0
2024-04-28,26.97,6017.184516681558,21.97,2602.8599999999988,0
2024-04-29,26.76,6006.818180533802,21.76,2624.619999999999,0
2024-04-30,27.19,5996.451844386044,22.19,2646.809999999999,0
2024-05-01,27.79,5986.085508238287,22.79,2669.599999999999,0
2024-05-02,28.13,5975.71917209053,23.13,2692.729999999999,0
2024-05-03,28.19,5965.352835942773,23.19,2715.919999999999,0
2024-05-04,27.74,5954.986499795015,22.74,2738.659999999999,0
2024-05-05,28.3,5944.620163647258,23.3,2761.959999999999,0
2024-05-06,28.01,5934.2538274995,23.01,2784.9699999999993,0
2024-05-07,27.51,5923.887491351744,22.51,2807.4799999999996,0
2024-05-08,27.8,5913.521155203986,22.8,2830.2799999999997,0
2024-05-09,28.58,5923.975969616884,23.58,2853.8599999999997,0
2024-05-10,28.49,5934.4307840297815,23.49,2877.3499999999995,0
2024-05-11,28.82,5944.885598442679,23.82,2901.1699999999996,0
2024-05-12,28.74,5955.340412855577,23.74,2924.9099999999994,0
2024-05-13,28.66,5965.795227268474,23.66,2948.5699999999993,0
2024-05-14,28.45,5976.250041681372,23.45,2972.019999999999,0
2024-05-15,28.51,5986.704856094269,23.51,2995.5299999999993,0
