date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,17.97,6252.061749479936,12.969999999999999,12.969999999999999,0
2024-01-02,21.77,6242.559885658928,16.77,29.74,0
2024-01-03,22.42,6233.05802183792,17.42,47.16,0
2024-01-04,22.46,6223.5561580169115,17.46,64.62,0
2024-01-05,25.07,6214.054294195904,20.07,84.69,0
2024-01-06,23.66,6204.552430374895,18.66,103.35,0
2024-01-07,24.01,6195.050566553888,19.01,122.36,0
2024-01-08,24.48,6185.548702732879,19.48,141.84,0
2024-01-09,24.81,6176.0468389118705,19.81,161.65,0
2024-01-10,22.76,6166.544975090863,17.76,179.41,0
2024-01-11,20.18,6157.043111269854,15.18,194.59,0
2024-01-12,20.49,6147.541247448847,15.489999999999998,210.08,0
2024-01-13,20.23,6138.039383627838,15.23,225.31,0
2024-01-14,23.35,6128.5375198068305,18.35,243.66,0
2024-01-15,24.04,6119.035655985822,19.04,262.7,0
2024-01-16,22.78,6109.533792164814,17.78,280.48,0
2024-01-17,24.38,6100.031928343806,19.38,299.86,0
2024-01-18,24.02,6100.973988631863,19.02,318.88,0
2024-01-19,22.24,6101.91604891992,17.24,336.12,0
2024-01-20,22.41,6102.8581092079785,17.41,353.53000000000003,0
2024-01-21,23.15,6103.800169496036,18.15,371.68,0
2024-01-22,24.05,6104.742229784093,19.05,390.73,0
2024-01-23,24.14,6105.684290072151,19.14,409.87,0
2024-01-24,24.35,6106.626350360209,19.35,429.22,0
2024-01-25,24.99,6107.568410648266,19.99,449.21000000000004,0
2024-01-26,25.98,6108.510470936323,20.98,470.19000000000005,0
2024-01-27,24.95,6109.45253122438,19.95,490.14000000000004,0
2024-01-28,25.29,6110.394591512439,20.29,510.43000000000006,0
2024-01-29,26.77,6111.336651800496,21.77,532.2,0
2024-01-30,29.39,6112.278712088553,24.39,556.59,0
2024-01-31,30.42,6113.220772376611,25.42,582.01,0
2024-02-01,31.75,6114.162832664669,26.75,608.76,0
2024-02-02,31.35,6115.104892952726,26.35,635.11,0
2024-02-03,26.35,6138.639674467836,21.35,656.46,0
2024-02-04,21.51,6162.174455982946,16.51,672.97,0
2024-02-05,23.37,6185.709237498056,18.37,691.34,0
2024-02-06,26.32,6209.244019013166,21.32,712.6600000000001,0
2024-02-07,27.87,6232.778800528276,22.87,735.5300000000001,0
2024-02-08,21.98,6256.313582043386,16.98,752.5100000000001,0
2024-02-09,23.0,6279.848363558496,18.0,770.5100000000001,0
2024-02-10,24.58,6303.383145073606,19.58,790.0900000000001,0
2024-02-11,25.3,6326.917926588716,20.3,810.3900000000001,0
2024-02-12,19.35,6350.452708103826,14.350000000000001,824.7400000000001,0
2024-02-13,15.87,6373.987489618936,10.87,835.6100000000001,0
2024-02-14,17.94,6397.522271134047,12.940000000000001,848.5500000000002,0
2024-02-15,19.76,6421.0570526491565,14.760000000000002,863.3100000000002,0
2024-02-16,22.0,6444.591834164266,17.0,880.3100000000002,0
2024-02-17,23.87,6468.126615679376,18.87,899.1800000000002,0
2024-02-18,23.94,6491.661397194486,18.94,918.1200000000002,1
2024-02-19,23.89,6488.667142041892,18.89,937.0100000000002,0
2024-02-20,23.86,6485.672886889297,18.86,955.8700000000002,0
2024-02-21,25.99,6482.678631736701,20.99,976.8600000000002,0
2024-02-22,24.64,6479.684376584107,19.64,996.5000000000002,0
2024-02-23,19.57,6476.690121431512,14.57,1011.0700000000003,0
2024-02-24,19.34,6473.6958662789175,14.34,1025.4100000000003,0
2024-02-25,19.96,6470.701611126323,14.96,1040.3700000000003,0
2024-02-26,21.0,6467.707355973727,16.0,1056.3700000000003,0
2024-02-27,24.36,6464.713100821133,19.36,1075.7300000000002,0
2024-02-28,24.94,6461.718845668538,19.94,1095.6700000000003,0
2024-02-29,21.07,6458.724590515943,16.07,1111.7400000000002,0
2024-03-01,22.78,6455.730335363349,17.78,1129.5200000000002,0
2024-03-02,24.0,6452.736080210754,19.0,1148.5200000000002,0
2024-03-03,17.77,6449.741825058159,12.77,1161.2900000000002,0
2024-03-04,18.1,6446.747569905564,13.100000000000001,1174.39,0
2024-03-05,16.5,6443.753314752969,11.5,1185.89,0
2024-03-06,20.03,6430.934899519693,15.030000000000001,1200.92,0
