date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,30.19,674.9237361302083,25.19,25.19,0
2024-01-02,30.17,679.3645550499784,25.17,50.36,0
2024-01-03,30.4,683.8053739697484,25.4,75.75999999999999,0
2024-01-04,30.15,688.2461928895184,25.15,100.91,0
2024-01-05,30.1,692.6870118092885,25.1,126.00999999999999,0
2024-01-06,29.95,697.1278307290586,24.95,150.95999999999998,0
2024-01-07,30.08,701.5686496488286,25.08,176.03999999999996,0
2024-01-08,30.3,706.0094685685985,25.3,201.33999999999997,0
2024-01-09,30.23,710.4502874883686,25.23,226.56999999999996,0
2024-01-10,30.48,714.8911064081387,25.48,252.04999999999995,0
2024-01-11,30.45,719.3319253279087,25.45,277.49999999999994,0
2024-01-12,29.99,723.7727442476787,24.99,302.48999999999995,0
2024-01-13,30.01,728.2135631674488,25.01,327.49999999999994,0
2024-01-14,30.23,732.6543820872189,25.23,352.72999999999996,0
2024-01-15,30.1,737.0952010069889,25.1,377.83,0
2024-01-16,29.96,741.5360199267589,24.96,402.78999999999996,0
2024-01-17,29.73,745.976838846529,24.73,427.52,0
2024-01-18,29.65,754.2031354841732,24.65,452.16999999999996,0
2024-01-19,29.22,762.4294321218175,24.22,476.39,0
2024-01-20,29.02,770.6557287594618,24.02,500.40999999999997,0
2024-01-21,29.54,778.8820253971061,24.54,524.9499999999999,0
2024-01-22,29.64,787.1083220347504,24.64,549.5899999999999,0
2024-01-23,29.61,795.3346186723946,24.61,574.1999999999999,0
2024-01-24,29.54,803.5609153100389,24.54,598.7399999999999,0
2024-01-25,29.1,811.7872119476833,24.1,622.8399999999999,0
2024-01-26,29.11,820.0135085853276,24.11,646.9499999999999,0
2024-01-27,29.12,828.2398052229719,24.12,671.0699999999999,0
2024-01-28,29.07,836.4661018606162,24.07,695.14,0
2024-01-29,29.23,844.6923984982604,24.23,719.37,0
2024-01-30,29.0,852.9186951359047,24.0,743.37,0
2024-01-31,29.07,861.144991773549,24.07,767.44,0
2024-02-01,28.91,869.3712884111933,23.91,791.35,0
2024-02-02,29.21,877.5975850488376,24.21,815.5600000000001,1
2024-02-03,29.4,875.0287807412517,24.4,839.96,0
2024-02-04,29.62,872.4599764336658,24.62,864.58,0
2024-02-05,29.34,869.8911721260798,24.34,888.9200000000001,0
2024-02-06,29.48,867.322367818494,24.48,913.4000000000001,0
2024-02-07,29.36,864.7535635109081,24.36,937.7600000000001,0
2024-02-08,28.95,862.1847592033221,23.95,961.7100000000002,0
2024-02-09,28.98,859.6159548957362,23.98,985.6900000000002,0
2024-02-10,28.91,857.0471505881503,23.91,1009.6000000000001,0
2024-02-11,29.48,854.4783462805644,24.48,1034.0800000000002,0
2024-02-12,29.55,851.9095419729786,24.55,1058.63,0
2024-02-13,29.48,849.3407376653926,24.48,1083.1100000000001,0
2024-02-14,29.33,846.7719333578067,24.33,1107.44,0
2024-02-15,29.35,844.2031290502208,24.35,1131.79,0
2024-02-16,29.14,841.6343247426348,24.14,1155.93,0
2024-02-17,29.5,839.0655204350489,24.5,1180.43,0
2024-02-18,29.83,836.4967161274631,24.83,1205.26,0
2024-02-19,29.85,814.8083454984833,24.85,1230.11,0
2024-02-20,30.02,793.1199748695034,25.02,1255.1299999999999,0
2024-02-21,29.88,771.4316042405236,24.88,1280.01,0
2024-02-22,29.72,749.7432336115437,24.72,1304.73,0
2024-02-23,29.36,728.0548629825639,24.36,1329.09,0
2024-02-24,29.65,706.3664923535841,24.65,1353.74,0
2024-02-25,29.2,684.6781217246042,24.2,1377.94,0
2024-02-26,29.18,662.9897510956245,24.18,1402.1200000000001,0
