date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,24.61,6475.13115529179,19.61,19.61,0
2024-01-02,24.51,6477.777139596326,19.51,39.120000000000005,0
2024-01-03,23.99,6480.423123900864,18.99,58.11,0
2024-01-04,25.53,6483.069108205401,20.53,78.64,0
2024-01-05,25.37,6485.715092509938,20.37,99.01,0
2024-01-06,25.52,6488.361076814475,20.52,119.53,0
2024-01-07,26.02,6491.007061119012,21.02,140.55,0
2024-01-08,25.71,6493.65304542355,20.71,161.26000000000002,0
2024-01-09,26.31,6496.299029728087,21.31,182.57000000000002,0
2024-01-10,26.52,6498.9450140326235,21.52,204.09000000000003,0
2024-01-11,26.4,6501.590998337161,21.4,225.49000000000004,0
2024-01-12,26.57,6504.236982641698,21.57,247.06000000000003,0
2024-01-13,26.87,6506.882966946236,21.87,268.93,0
2024-01-14,26.09,6509.5289512507725,21.09,290.02,0
2024-01-15,26.46,6512.174935555309,21.46,311.47999999999996,0
2024-01-16,26.8,6514.820919859847,21.8,333.28,0
2024-01-17,26.78,6517.466904164384,21.78,355.05999999999995,1
2024-01-18,26.54,6476.636054834074,21.54,376.59999999999997,0
2024-01-19,26.28,6435.805205503763,21.28,397.88,0
2024-01-20,26.3,6394.974356173454,21.3,419.18,0
2024-01-21,24.88,6354.143506843144,19.88,439.06,0
2024-01-22,24.38,6313.3126575128335,19.38,458.44,0
2024-01-23,25.31,6272.481808182523,20.31,478.75,0
2024-01-24,25.86,6231.650958852213,20.86,499.61,0
2024-01-25,25.88,6190.820109521903,20.88,520.49,0
2024-01-26,25.97,6149.9892601915935,20.97,541.46,0
2024-01-27,25.98,6109.158410861283,20.98,562.44,0
2024-01-28,26.05,6068.327561530973,21.05,583.49,0
2024-01-29,25.19,6027.496712200663,20.19,603.6800000000001,0
2024-01-30,23.09,5986.6658628703535,18.09,621.7700000000001,0
2024-01-31,23.8,5945.835013540043,18.8,640.57,0
2024-02-01,23.4,5905.004164209733,18.4,658.97,0
2024-02-02,22.9,5864.173314879423,17.9,676.87,0
2024-02-03,23.86,5853.928274879264,18.86,695.73,0
2024-02-04,25.2,5843.683234879106,20.2,715.9300000000001,0
2024-02-05,25.46,5833.438194878947,20.46,736.3900000000001,0
2024-02-06,24.27,5823.193154878789,19.27,755.6600000000001,0
2024-02-07,23.87,5812.94811487863,18.87,774.5300000000001,0
2024-02-08,23.64,5802.703074878472,18.64,793.1700000000001,0
2024-02-09,23.95,5792.458034878313,18.95,812.1200000000001,0
2024-02-10,24.21,5782.212994878155,19.21,831.3300000000002,0
2024-02-11,24.89,5771.967954877996,19.89,851.2200000000001,0
2024-02-12,25.35,5761.722914877837,20.35,871.5700000000002,0
2024-02-13,25.78,5751.477874877679,20.78,892.3500000000001,0
2024-02-14,25.55,5741.23283487752,20.55,912.9000000000001,0
2024-02-15,24.6,5730.987794877362,19.6,932.5000000000001,0
2024-02-16,24.68,5720.742754877203,19.68,952.1800000000001,0
2024-02-17,25.66,5710.497714877045,20.66,972.84,0
2024-02-18,25.96,5700.252674876886,20.96,993.8000000000001,0
2024-02-19,26.16,5690.102059665549,21.16,1014.96,0
2024-02-20,23.85,5679.951444454212,18.85,1033.81,0
2024-02-21,23.22,5669.800829242874,18.22,1052.03,0
2024-02-22,23.04,5659.650214031537,18.04,1070.07,0
2024-02-23,23.77,5649.4995988202,18.77,1088.84,0
2024-02-24,25.26,5639.348983608863,20.26,1109.1,0
2024-02-25,23.81,5629.198368397526,18.81,1127.9099999999999,0
2024-02-26,23.63,5619.047753186189,18.63,1146.54,0
2024-02-27,24.21,5608.897137974851,19.21,1165.75,0
2024-02-28,24.64,5598.746522763514,19.64,1185.39,0
2024-02-29,24.94,5588.595907552177,19.94,1205.3300000000002,0
2024-03-01,24.53,5578.44529234084,19.53,1224.8600000000001,0
2024-03-02,25.11,5568.294677129503,20.11,1244.97,0
2024-03-03,25.38,5558.144061918165,20.38,1265.3500000000001,0
2024-03-04,25.32,5547.993446706828,20.32,1285.67,0
2024-03-05,25.3,5537.842831495491,20.3,1305.97,0
2024-03-06,25.35,5534.513811151895,20.35,1326.32,0
2024-03-07,25.84,5531.1847908083,20.84,1347.1599999999999,0
2024-03-08,25.91,5527.855770464705,20.91,1368.07,0
2024-03-09,26.04,5524.526750121109,21.04,1389.11,0
2024-03-10,26.16,5521.197729777515,21.16,1410.27,0
2024-03-11,25.87,5517.868709433919,20.87,1431.1399999999999,0
2024-03-12,24.89,5514.539689090324,19.89,1451.03,0
2024-03-13,25.61,5511.2106687467285,20.61,1471.6399999999999,0
2024-03-14,25.93,5507.881648403133,20.93,1492.57,0
2024-03-15,25.6,5504.552628059538,20.6,1513.1699999999998,0
2024-03-16,25.9,5501.223607715942,20.9,1534.07,0
2024-03-17,26.1,5497.894587372348,21.1,1555.1699999999998,0
2024-03-18,26.87,5494.565567028752,21.87,1577.0399999999997,0
2024-03-19,26.68,5491.236546685157,21.68,1598.7199999999998,0
2024-03-20,25.04,5487.907526341562,20.04,1618.7599999999998,0
2024-03-21,25.01,5484.578505997966,20.01,1638.7699999999998,0
2024-03-22,25.92,5468.305283783426,20.92,1659.6899999999998,0
2024-03-23,26.63,5452.032061568885,21.63,1681.32,0
2024-03-24,25.85,5435.758839354345,20.85,1702.1699999999998,0
2024-03-25,25.15,5419.485617139804,20.15,1722.32,0
2024-03-26,24.5,5403.212394925263,19.5,1741.82,0
2024-03-27,24.07,5386.939172710722,19.07,1760.8899999999999,0
2024-03-28,23.41,5370.665950496182,18.41,1779.3,0
2024-03-29,25.28,5354.392728281641,20.28,1799.58,0
2024-03-30,23.82,5338.119506067101,18.82,1818.3999999999999,0
2024-03-31,24.59,5321.84628385256,19.59,1837.9899999999998,0
2024-04-01,25.28,5305.57306163802,20.28,1858.2699999999998,0
2024-04-02,25.6,5289.299839423478,20.6,1878.8699999999997,0
2024-04-03,26.48,5273.026617208938,21.48,1900.3499999999997,0
2024-04-04,26.78,5256.753394994397,21.78,1922.1299999999997,0
2024-04-05,27.1,5240.480172779857,22.1,1944.2299999999996,0
2024-04-06,25.7,5224.206950565316,20.7,1964.9299999999996,0
2024-04-07,25.23,5198.548532695011,20.23,1985.1599999999996,0
2024-04-08,24.51,5172.890114824706,19.51,2004.6699999999996,0
2024-04-09,24.61,5147.231696954401,19.61,2024.2799999999995,0
2024-04-10,25.57,5121.573279084096,20.57,2044.8499999999995,0
2024-04-11,26.31,5095.914861213791,21.31,2066.1599999999994,0
2024-04-12,26.34,5070.256443343485,21.34,2087.4999999999995,0
2024-04-13,25.82,5044.59802547318,20.82,2108.3199999999997,0
2024-04-14,25.36,5018.939607602875,20.36,2128.68,0
2024-04-15,25.85,4993.281189732569,20.85,2149.5299999999997,0
2024-04-16,25.6,4967.622771862264,20.6,2170.1299999999997,0
2024-04-17,26.0,4941.964353991959,21.0,2191.1299999999997,0
2024-04-18,25.74,4916.305936121654,20.74,2211.8699999999994,0
2024-04-19,25.56,4890.647518251349,20.56,2232.4299999999994,0
2024-04-20,25.66,4864.9891003810435,20.66,2253.0899999999992,0
2024-04-21,26.12,4839.330682510738,21.12,2274.209999999999,0
2024-04-22,26.86,4813.672264640433,21.86,2296.0699999999993,0
2024-04-23,26.25,4821.825068113369,21.25,2317.3199999999993,0
2024-04-24,25.42,4829.977871586304,20.42,2337.7399999999993,0
2024-04-25,26.02,4838.1306750592385,21.02,2358.7599999999993,0
2024-04-26,26.11,4846.283478532174,21.11,2379.8699999999994,0
2024-04-27,25.22,4854.436282005109,20.22,2400.0899999999992,0
2024-04-28,25.3,4862.589085478045,20.3,2420.3899999999994,0
2024-04-29,25.53,4870.74188895098,20.53,2440.9199999999996,0
2024-04-30,25.55,4878.894692423915,20.55,2461.47,0
2024-05-01,25.48,4887.04749589685,20.48,2481.95,0
2024-05-02,25.82,4895.200299369785,20.82,2502.77,0
2024-05-03,26.41,4903.353102842721,21.41,2524.18,0
2024-05-04,26.12,4911.505906315656,21.12,2545.2999999999997,0
2024-05-05,26.28,4919.658709788591,21.28,2566.58,0
2024-05-06,26.29,4927.811513261526,21.29,2587.87,0
2024-05-07,26.21,4935.964316734461,21.21,2609.08,0
2024-05-08,26.07,4944.1171202073965,21.07,2630.15,0
