date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,18.45,5000.720830055939,13.45,13.45,0
2024-01-02,17.68,4974.117776067358,12.68,26.13,0
2024-01-03,17.53,4947.514722078778,12.530000000000001,38.66,0
2024-01-04,17.71,4920.911668090197,12.71,51.37,0
2024-01-05,17.71,4894.3086141016165,12.71,64.08,0
2024-01-06,18.28,4867.705560113036,13.280000000000001,77.36,0
2024-01-07,18.52,4841.102506124455,13.52,90.88,0
2024-01-08,18.43,4814.499452135875,13.43,104.31,0
2024-01-09,17.51,4787.896398147293,12.510000000000002,116.82000000000001,0
2024-01-10,17.04,4761.293344158713,12.04,128.86,0
2024-01-11,17.61,4734.690290170132,12.61,141.47000000000003,0
2024-01-12,15.87,4708.087236181552,10.87,152.34000000000003,0
2024-01-13,15.58,4681.484182192971,10.58,162.92000000000004,0
2024-01-14,16.09,4654.881128204391,11.09,174.01000000000005,0
2024-01-15,16.41,4628.27807421581,11.41,185.42000000000004,0
2024-01-16,16.31,4601.67502022723,11.309999999999999,196.73000000000005,0
2024-01-17,16.12,4575.071966238649,11.120000000000001,207.85000000000005,0
2024-01-18,17.23,4582.539919608449,12.23,220.08000000000004,0
2024-01-19,18.22,4590.007872978249,13.219999999999999,233.30000000000004,0
2024-01-20,16.97,4597.475826348049,11.969999999999999,245.27000000000004,0
2024-01-21,16.76,4604.943779717849,11.760000000000002,257.03000000000003,0
2024-01-22,15.33,4612.411733087649,10.33,267.36,0
2024-01-23,15.71,4619.879686457449,10.71,278.07,0
2024-01-24,16.48,4627.347639827249,11.48,289.55,0
2024-01-25,17.65,4634.815593197049,12.649999999999999,302.2,0
2024-01-26,16.45,4642.283546566849,11.45,313.65,0
2024-01-27,15.63,4649.7514999366485,10.63,324.28,0
2024-01-28,15.79,4657.2194533064485,10.79,335.07,0
2024-01-29,17.02,4664.687406676248,12.02,347.09,0
2024-01-30,18.36,4672.155360046048,13.36,360.45,0
2024-01-31,19.51,4679.623313415848,14.510000000000002,374.96,0
2024-02-01,19.97,4687.091266785648,14.969999999999999,389.92999999999995,0
2024-02-02,20.4,4694.559220155448,15.399999999999999,405.3299999999999,0
2024-02-03,20.23,4722.08701311307,15.23,420.55999999999995,0
2024-02-04,19.96,4749.614806070691,14.96,435.5199999999999,0
2024-02-05,20.91,4777.142599028312,15.91,451.42999999999995,0
2024-02-06,20.89,4804.670391985934,15.89,467.31999999999994,0
2024-02-07,21.08,4832.198184943555,16.08,483.3999999999999,0
2024-02-08,18.77,4859.7259779011765,13.77,497.1699999999999,0
2024-02-09,17.25,4887.253770858798,12.25,509.4199999999999,0
2024-02-10,17.75,4914.781563816419,12.75,522.1699999999998,0
2024-02-11,19.06,4942.309356774042,14.059999999999999,536.2299999999998,0
2024-02-12,20.48,4969.837149731663,15.48,551.7099999999998,0
2024-02-13,21.09,4997.364942689284,16.09,567.7999999999998,0
2024-02-14,21.66,5024.892735646906,16.66,584.4599999999998,0
2024-02-15,21.83,5052.420528604527,16.83,601.2899999999998,0
2024-02-16,21.51,5079.9483215621485,16.51,617.7999999999998,0
2024-02-17,21.6,5107.47611451977,16.6,634.3999999999999,0
2024-02-18,21.62,5135.003907477391,16.62,651.0199999999999,0
2024-02-19,21.37,5145.561201861648,16.37,667.3899999999999,0
2024-02-20,22.63,5156.118496245905,17.63,685.0199999999999,0
2024-02-21,23.96,5166.675790630162,18.96,703.9799999999999,0
2024-02-22,24.29,5177.233085014419,19.29,723.2699999999999,0
2024-02-23,23.22,5187.790379398675,18.22,741.4899999999999,0
2024-02-24,22.74,5198.347673782932,17.74,759.2299999999999,0
2024-02-25,21.61,5208.904968167189,16.61,775.8399999999999,0
2024-02-26,21.09,5219.462262551446,16.09,791.93,0
2024-02-27,21.83,5230.019556935703,16.83,808.76,0
2024-02-28,22.77,5240.576851319959,17.77,826.53,0
2024-02-29,23.78,5251.134145704216,18.78,845.31,0
2024-03-01,22.46,5261.6914400884725,17.46,862.77,0
2024-03-02,23.02,5272.24873447273,18.02,880.79,0
2024-03-03,24.16,5282.806028856987,19.16,899.9499999999999,0
2024-03-04,24.09,5293.363323241243,19.09,919.04,0
2024-03-05,24.58,5303.9206176255,19.58,938.62,0
2024-03-06,23.99,5357.265749959803,18.99,957.61,0
2024-03-07,23.7,5410.610882294105,18.7,976.3100000000001,0
2024-03-08,23.7,5463.9560146284075,18.7,995.0100000000001,0
2024-03-09,23.14,5517.30114696271,18.14,1013.1500000000001,0
2024-03-10,22.28,5570.646279297012,17.28,1030.43,0
2024-03-11,22.97,5623.991411631315,17.97,1048.4,0
2024-03-12,25.05,5677.336543965617,20.05,1068.45,0
2024-03-13,25.43,5730.681676299921,20.43,1088.88,0
2024-03-14,26.04,5784.026808634223,21.04,1109.92,0
2024-03-15,26.39,5837.371940968525,21.39,1131.3100000000002,0
2024-03-16,26.97,5890.717073302828,21.97,1153.2800000000002,0
2024-03-17,27.13,5944.06220563713,22.13,1175.4100000000003,0
2024-03-18,27.57,5997.407337971433,22.57,1197.9800000000002,0
2024-03-19,27.83,6050.752470305735,22.83,1220.8100000000002,0
2024-03-20,24.99,6104.097602640038,19.99,1240.8000000000002,0
2024-03-21,24.06,6157.44273497434,19.06,1259.8600000000001,1
2024-03-22,24.06,6152.642858483891,19.06,1278.92,0
2024-03-23,25.47,6147.842981993443,20.47,1299.39,0
2024-03-24,26.49,6143.043105502994,21.49,1320.88,0
2024-03-25,26.84,6138.243229012545,21.84,1342.72,0
2024-03-26,26.98,6133.443352522097,21.98,1364.7,0
2024-03-27,27.61,6128.643476031648,22.61,1387.31,0
2024-03-28,27.86,6123.843599541199,22.86,1410.1699999999998,0
2024-03-29,27.54,6119.0437230507505,22.54,1432.7099999999998,0
2024-03-30,28.26,6114.243846560303,23.26,1455.9699999999998,0
2024-03-31,28.31,6109.443970069854,23.31,1479.2799999999997,0
2024-04-01,28.97,6104.644093579405,23.97,1503.2499999999998,0
2024-04-02,29.12,6099.844217088957,24.12,1527.3699999999997,0
2024-04-03,29.43,6095.044340598508,24.43,1551.7999999999997,0
2024-04-04,29.34,6090.244464108059,24.34,1576.1399999999996,0
2024-04-05,29.31,6085.4445876176105,24.31,1600.4499999999996,0
2024-04-06,30.25,6080.644711127162,25.25,1625.6999999999996,0
2024-04-07,30.17,6062.2271176335535,25.17,1650.8699999999997,0
2024-04-08,30.2,6043.809524139945,25.2,1676.0699999999997,0
