date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,25.42,3341.152236228074,20.42,20.42,0
2024-01-02,26.75,3319.252890232831,21.75,42.17,0
2024-01-03,26.39,3297.3535442375874,21.39,63.56,0
2024-01-04,25.96,3275.4541982423443,20.96,84.52000000000001,0
2024-01-05,25.95,3253.554852247101,20.95,105.47000000000001,0
2024-01-06,26.03,3231.655506251858,21.03,126.50000000000001,0
2024-01-07,25.32,3209.7561602566143,20.32,146.82000000000002,0
2024-01-08,24.65,3187.8568142613713,19.65,166.47000000000003,0
2024-01-09,24.99,3165.9574682661278,19.99,186.46000000000004,0
2024-01-10,24.56,3144.0581222708847,19.56,206.02000000000004,0
2024-01-11,24.67,3122.1587762756417,19.67,225.69000000000005,0
2024-01-12,24.71,3100.259430280398,19.71,245.40000000000006,0
2024-01-13,23.97,3078.360084285155,18.97,264.37000000000006,0
2024-01-14,23.65,3056.4607382899117,18.65,283.02000000000004,0
2024-01-15,23.3,3034.5613922946686,18.3,301.32000000000005,0
2024-01-16,22.74,3012.662046299425,17.74,319.06000000000006,0
2024-01-17,22.78,2990.762700304182,17.78,336.84000000000003,0
2024-01-18,23.31,2963.012202387922,18.31,355.15000000000003,0
2024-01-19,23.86,2935.2617044716626,18.86,374.01000000000005,0
2024-01-20,24.11,2907.5112065554026,19.11,393.12000000000006,0
2024-01-21,24.25,2879.7607086391426,19.25,412.37000000000006,0
2024-01-22,24.38,2852.0102107228827,19.38,431.75000000000006,0
2024-01-23,24.82,2824.2597128066227,19.82,451.57000000000005,0
2024-01-24,24.73,2796.509214890363,19.73,471.30000000000007,0
2024-01-25,23.95,2768.758716974103,18.95,490.25000000000006,0
2024-01-26,23.83,2741.0082190578432,18.83,509.08000000000004,0
2024-01-27,24.33,2713.2577211415837,19.33,528.4100000000001,0
2024-01-28,24.08,2685.5072232253237,19.08,547.4900000000001,0
2024-01-29,25.2,2657.7567253090638,20.2,567.6900000000002,0
2024-01-30,26.33,2630.006227392804,21.33,589.0200000000002,0
2024-01-31,26.79,2602.255729476544,21.79,610.8100000000002,0
2024-02-01,26.72,2574.5052315602843,21.72,632.5300000000002,0
2024-02-02,26.28,2546.7547336440243,21.28,653.8100000000002,0
2024-02-03,25.22,2543.71934128304,20.22,674.0300000000002,0
2024-02-04,26.27,2540.6839489220556,21.27,695.3000000000002,0
2024-02-05,26.04,2537.6485565610715,21.04,716.3400000000001,0
2024-02-06,26.05,2534.613164200087,21.05,737.3900000000001,0
2024-02-07,26.08,2531.5777718391028,21.08,758.4700000000001,0
2024-02-08,24.91,2528.542379478118,19.91,778.3800000000001,0
2024-02-09,25.3,2525.506987117134,20.3,798.6800000000001,0
2024-02-10,27.18,2522.47159475615,22.18,820.86,0
2024-02-11,28.54,2519.4362023951653,23.54,844.4,0
2024-02-12,28.83,2516.400810034181,23.83,868.23,0
2024-02-13,28.32,2513.3654176731966,23.32,891.5500000000001,0
2024-02-14,28.03,2510.3300253122125,23.03,914.58,0
2024-02-15,27.57,2507.294632951228,22.57,937.1500000000001,0
2024-02-16,27.09,2504.2592405902437,22.09,959.2400000000001,0
2024-02-17,27.23,2501.223848229259,22.23,981.4700000000001,0
2024-02-18,27.67,2498.188455868275,22.67,1004.1400000000001,0
2024-02-19,29.36,2498.3700269095043,24.36,1028.5,0
2024-02-20,28.69,2498.551597950734,23.69,1052.19,0
2024-02-21,29.57,2498.7331689919633,24.57,1076.76,0
2024-02-22,29.72,2498.914740033193,24.72,1101.48,0
2024-02-23,29.95,2499.0963110744224,24.95,1126.43,0
2024-02-24,31.03,2499.277882115652,26.03,1152.46,0
2024-02-25,31.42,2499.4594531568814,26.42,1178.88,0
2024-02-26,31.85,2499.641024198111,26.85,1205.73,0
2024-02-27,32.3,2499.8225952393404,27.299999999999997,1233.03,0
2024-02-28,32.87,2500.0041662805697,27.869999999999997,1260.8999999999999,0
2024-02-29,33.01,2500.1857373217995,28.009999999999998,1288.9099999999999,0
2024-03-01,31.95,2500.3673083630288,26.95,1315.86,0
2024-03-02,32.68,2500.5488794042585,27.68,1343.54,0
2024-03-03,33.76,2500.730450445488,28.759999999999998,1372.3,0
2024-03-04,34.27,2500.9120214867175,29.270000000000003,1401.57,0
2024-03-05,34.37,2501.093592527947,29.369999999999997,1430.9399999999998,1
2024-03-06,33.96,2498.8824440570484,28.96,1459.8999999999999,0
2024-03-07,33.5,2496.6712955861503,28.5,1488.3999999999999,0
2024-03-08,33.07,2494.460147115252,28.07,1516.4699999999998,0
2024-03-09,33.56,2492.248998644354,28.560000000000002,1545.0299999999997,0
2024-03-10,34.62,2490.0378501734554,29.619999999999997,1574.6499999999996,0
2024-03-11,34.51,2487.8267017025573,29.509999999999998,1604.1599999999996,0
2024-03-12,35.23,2485.615553231659,30.229999999999997,1634.3899999999996,0
2024-03-13,35.73,2483.4044047607604,30.729999999999997,1665.1199999999997,0
2024-03-14,34.13,2481.1932562898623,29.130000000000003,1694.2499999999998,0
2024-03-15,34.32,2478.982107818964,29.32,1723.5699999999997,0
2024-03-16,34.84,2476.770959348066,29.840000000000003,1753.4099999999996,0
2024-03-17,32.81,2474.5598108771674,27.810000000000002,1781.2199999999996,0
2024-03-18,31.56,2472.3486624062693,26.56,1807.7799999999995,0
2024-03-19,30.08,2470.137513935371,25.08,1832.8599999999994,0
2024-03-20,30.23,2467.926365464473,25.23,1858.0899999999995,0
2024-03-21,32.49,2465.7152169935744,27.490000000000002,1885.5799999999995,0
2024-03-22,33.22,2486.8050362671875,28.22,1913.7999999999995,0
2024-03-23,33.0,2507.8948555408006,28.0,1941.7999999999995,0
2024-03-24,32.74,2528.9846748144137,27.740000000000002,1969.5399999999995,0
2024-03-25,32.75,2550.0744940880268,27.75,1997.2899999999995,0
2024-03-26,33.33,2571.1643133616394,28.33,2025.6199999999994,0
2024-03-27,35.73,2592.2541326352525,30.729999999999997,2056.3499999999995,0
2024-03-28,36.55,2613.3439519088656,31.549999999999997,2087.8999999999996,0
