date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,27.77,5607.415076398384,22.77,22.77,0
2024-01-02,27.56,5593.535734160934,22.56,45.33,0
2024-01-03,27.97,5579.656391923483,22.97,68.3,0
2024-01-04,28.24,5565.777049686032,23.24,91.53999999999999,0
2024-01-05,28.24,5551.897707448582,23.24,114.77999999999999,0
2024-01-06,27.95,5538.018365211132,22.95,137.73,0
2024-01-07,28.01,5524.139022973681,23.01,160.73999999999998,0
2024-01-08,28.0,5510.25968073623,23.0,183.73999999999998,0
2024-01-09,27.98,5496.38033849878,22.98,206.71999999999997,0
2024-01-10,28.03,5482.500996261329,23.03,229.74999999999997,0
2024-01-11,27.73,5468.621654023878,22.73,252.47999999999996,0
2024-01-12,27.54,5454.742311786427,22.54,275.02,0
2024-01-13,27.52,5440.862969548977,22.52,297.53999999999996,0
2024-01-14,27.68,5426.983627311527,22.68,320.21999999999997,0
2024-01-15,27.64,5413.104285074076,22.64,342.85999999999996,0
2024-01-16,27.87,5399.224942836625,22.87,365.72999999999996,0
2024-01-17,27.71,5385.345600599175,22.71,388.43999999999994,0
2024-01-18,27.53,5355.587661482769,22.53,410.9699999999999,0
2024-01-19,27.67,5325.829722366363,22.67,433.63999999999993,0
2024-01-20,27.46,5296.071783249958,22.46,456.0999999999999,0
2024-01-21,27.71,5266.313844133551,22.71,478.8099999999999,0
2024-01-22,27.58,5236.555905017146,22.58,501.3899999999999,0
2024-01-23,27.42,5206.79796590074,22.42,523.8099999999998,0
2024-01-24,27.3,5177.040026784334,22.3,546.1099999999998,0
2024-01-25,27.16,5147.282087667929,22.16,568.2699999999998,0
2024-01-26,27.17,5117.524148551523,22.17,590.4399999999997,0
2024-01-27,27.01,5087.766209435117,22.01,612.4499999999997,0
2024-01-28,26.72,5058.008270318711,21.72,634.1699999999997,0
2024-01-29,26.72,5028.2503312023055,21.72,655.8899999999998,0
2024-01-30,26.93,4998.492392085899,21.93,677.8199999999997,0
2024-01-31,27.17,4968.734452969494,22.17,699.9899999999997,0
2024-02-01,27.29,4938.976513853087,22.29,722.2799999999996,0
2024-02-02,27.29,4909.218574736682,22.29,744.5699999999996,0
2024-02-03,27.12,4877.482997825723,22.12,766.6899999999996,0
