date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,25.54,2887.8037364781862,20.54,20.54,0
2024-01-02,26.32,2873.7197177167654,21.32,41.86,0
2024-01-03,26.58,2859.6356989553447,21.58,63.44,0
2024-01-04,26.87,2845.551680193924,21.87,85.31,0
2024-01-05,26.95,2831.467661432503,21.95,107.26,0
2024-01-06,28.11,2817.3836426710823,23.11,130.37,0
2024-01-07,28.01,2803.2996239096615,23.01,153.38,0
2024-01-08,27.88,2789.2156051482407,22.88,176.26,0
2024-01-09,27.49,2775.13158638682,22.49,198.75,0
2024-01-10,26.11,2761.047567625399,21.11,219.86,0
2024-01-11,26.9,2746.9635488639783,21.9,241.76000000000002,0
2024-01-12,26.92,2732.8795301025575,21.92,263.68,0
2024-01-13,26.56,2718.7955113411367,21.56,285.24,0
2024-01-14,25.88,2704.711492579716,20.88,306.12,0
2024-01-15,25.76,2690.627473818295,20.76,326.88,0
2024-01-16,25.78,2676.5434550568743,20.78,347.65999999999997,0
2024-01-17,24.88,2662.4594362954535,19.88,367.53999999999996,0
2024-01-18,25.0,2657.064345104734,20.0,387.53999999999996,0
2024-01-19,25.22,2651.6692539140145,20.22,407.76,0
2024-01-20,26.19,2646.274162723295,21.19,428.95,0
2024-01-21,26.31,2640.8790715325754,21.31,450.26,0
2024-01-22,26.1,2635.483980341856,21.1,471.36,0
2024-01-23,25.33,2630.0888891511363,20.33,491.69,0
2024-01-24,25.75,2624.6937979604168,20.75,512.44,0
2024-01-25,24.81,2619.2987067696968,19.81,532.25,0
2024-01-26,24.12,2613.903615578977,19.12,551.37,0
2024-01-27,24.21,2608.5085243882577,19.21,570.58,0
2024-01-28,24.31,2603.113433197538,19.31,589.89,0
2024-01-29,25.2,2597.7183420068186,20.2,610.09,0
2024-01-30,25.95,2592.323250816099,20.95,631.0400000000001,0
2024-01-31,26.82,2586.9281596253795,21.82,652.8600000000001,0
2024-02-01,27.89,2581.53306843466,22.89,675.7500000000001,0
2024-02-02,25.82,2576.1379772439404,20.82,696.5700000000002,0
2024-02-03,26.77,2566.628281352944,21.77,718.3400000000001,0
2024-02-04,26.62,2557.118585461948,21.62,739.9600000000002,0
2024-02-05,25.14,2547.6088895709513,20.14,760.1000000000001,0
2024-02-06,26.24,2538.099193679955,21.24,781.3400000000001,0
2024-02-07,26.71,2528.589497788959,21.71,803.0500000000002,0
2024-02-08,25.11,2519.079801897962,20.11,823.1600000000002,0
2024-02-09,27.41,2509.570106006966,22.41,845.5700000000002,0
2024-02-10,28.36,2500.0604101159697,23.36,868.9300000000002,0
2024-02-11,27.79,2490.5507142249735,22.79,891.7200000000001,0
2024-02-12,28.48,2481.0410183339773,23.48,915.2000000000002,0
2024-02-13,29.12,2471.5313224429806,24.12,939.3200000000002,0
2024-02-14,29.41,2462.0216265519844,24.41,963.7300000000001,0
2024-02-15,29.06,2452.511930660988,24.06,987.7900000000001,0
2024-02-16,28.6,2443.0022347699914,23.6,1011.3900000000001,0
2024-02-17,28.2,2433.492538878995,23.2,1034.5900000000001,0
2024-02-18,27.79,2423.982842987999,22.79,1057.38,0
2024-02-19,28.36,2419.072979965269,23.36,1080.74,0
2024-02-20,27.16,2414.163116942539,22.16,1102.9,0
2024-02-21,27.12,2409.253253919809,22.12,1125.02,0
2024-02-22,26.68,2404.343390897079,21.68,1146.7,0
2024-02-23,26.28,2399.4335278743497,21.28,1167.98,0
2024-02-24,27.68,2394.5236648516197,22.68,1190.66,0
2024-02-25,29.9,2389.61380182889,24.9,1215.5600000000002,0
2024-02-26,31.96,2384.70393880616,26.96,1242.5200000000002,0
2024-02-27,33.66,2379.79407578343,28.659999999999997,1271.1800000000003,0
2024-02-28,34.12,2374.8842127607,29.119999999999997,1300.3000000000002,0
2024-02-29,32.44,2369.97434973797,27.439999999999998,1327.7400000000002,0
2024-03-01,31.68,2365.0644867152405,26.68,1354.4200000000003,0
2024-03-02,31.65,2360.1546236925105,26.65,1381.0700000000004,0
