date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,21.29,5139.629634053811,16.29,16.29,0
2024-01-02,19.79,5279.385902642969,14.79,31.08,0
2024-01-03,19.24,5419.142171232126,14.239999999999998,45.31999999999999,0
2024-01-04,20.62,5558.898439821284,15.620000000000001,60.94,0
2024-01-05,20.12,5698.654708410442,15.120000000000001,76.06,0
2024-01-06,19.93,5838.410976999599,14.93,90.99000000000001,0
2024-01-07,20.85,5978.167245588757,15.850000000000001,106.84,0
2024-01-08,20.23,6117.923514177915,15.23,122.07000000000001,0
2024-01-09,21.03,6257.6797827670725,16.03,138.10000000000002,0
2024-01-10,19.8,6397.436051356231,14.8,152.90000000000003,0
2024-01-11,19.89,6537.192319945389,14.89,167.79000000000002,0
2024-01-12,20.34,6676.948588534546,15.34,183.13000000000002,0
2024-01-13,19.71,6816.704857123704,14.71,197.84000000000003,0
2024-01-14,20.83,6956.461125712862,15.829999999999998,213.67000000000002,0
2024-01-15,20.56,7096.217394302019,15.559999999999999,229.23000000000002,0
2024-01-16,20.37,7235.973662891178,15.370000000000001,244.60000000000002,0
2024-01-17,19.93,7375.729931480335,14.93,259.53000000000003,1
2024-01-18,20.56,7356.919024412483,15.559999999999999,275.09000000000003,0
2024-01-19,20.22,7338.108117344631,15.219999999999999,290.31000000000006,0
2024-01-20,21.52,7319.29721027678,16.52,306.83000000000004,0
2024-01-21,20.69,7300.486303208928,15.690000000000001,322.52000000000004,0
2024-01-22,21.43,7281.675396141076,16.43,338.95000000000005,0
2024-01-23,21.62,7262.864489073225,16.62,355.57000000000005,0
2024-01-24,20.69,7244.053582005373,15.690000000000001,371.26000000000005,0
2024-01-25,21.45,7225.242674937521,16.45,387.71000000000004,0
2024-01-26,21.46,7206.431767869669,16.46,404.17,0
2024-01-27,22.09,7187.620860801817,17.09,421.26,0
2024-01-28,22.31,7168.809953733966,17.31,438.57,0
2024-01-29,21.55,7149.999046666114,16.55,455.12,0
2024-01-30,19.76,7131.188139598262,14.760000000000002,469.88,0
2024-01-31,21.52,7112.377232530411,16.52,486.4,0
2024-02-01,20.66,7093.566325462559,15.66,502.06,0
2024-02-02,21.42,7074.755418394707,16.42,518.48,0
2024-02-03,21.77,7060.040613112468,16.77,535.25,0
2024-02-04,21.47,7045.325807830229,16.47,551.72,0
2024-02-05,21.54,7030.61100254799,16.54,568.26,0
2024-02-06,21.63,7015.896197265752,16.63,584.89,0
2024-02-07,21.74,7001.181391983512,16.74,601.63,0
2024-02-08,22.12,6986.466586701274,17.12,618.75,0
2024-02-09,22.31,6971.751781419035,17.31,636.06,0
2024-02-10,22.57,6957.0369761367965,17.57,653.63,0
2024-02-11,22.2,6942.322170854557,17.2,670.83,0
2024-02-12,21.65,6927.6073655723185,16.65,687.48,0
2024-02-13,21.81,6912.89256029008,16.81,704.29,0
2024-02-14,21.07,6898.1777550078405,16.07,720.36,0
2024-02-15,21.42,6883.462949725602,16.42,736.78,0
2024-02-16,21.77,6868.748144443363,16.77,753.55,0
2024-02-17,22.24,6854.033339161124,17.24,770.79,0
2024-02-18,22.33,6839.318533878885,17.33,788.12,0
2024-02-19,22.92,6868.245754020306,17.92,806.04,0
2024-02-20,22.58,6897.172974161726,17.58,823.62,0
2024-02-21,22.92,6926.100194303147,17.92,841.54,0
2024-02-22,22.97,6955.0274144445675,17.97,859.51,0
2024-02-23,22.92,6983.954634585988,17.92,877.43,0
2024-02-24,22.56,7012.881854727409,17.56,894.9899999999999,0
2024-02-25,21.54,7041.809074868829,16.54,911.5299999999999,0
2024-02-26,21.1,7070.736295010251,16.1,927.6299999999999,0
2024-02-27,21.19,7099.663515151671,16.19,943.8199999999999,0
2024-02-28,20.88,7128.590735293092,15.879999999999999,959.6999999999999,0
2024-02-29,21.19,7157.517955434512,16.19,975.89,0
2024-03-01,21.61,7186.445175575933,16.61,992.5,0
2024-03-02,20.27,7215.372395717353,15.27,1007.77,0
2024-03-03,21.65,7244.299615858774,16.65,1024.42,0
2024-03-04,20.53,7273.226836000194,15.530000000000001,1039.95,0
2024-03-05,21.7,7302.154056141615,16.7,1056.65,1
2024-03-06,20.87,7262.152426326798,15.870000000000001,1072.52,0
2024-03-07,21.7,7222.150796511981,16.7,1089.22,0
2024-03-08,21.94,7182.149166697164,16.94,1106.16,0
2024-03-09,21.7,7142.147536882348,16.7,1122.8600000000001,0
2024-03-10,21.58,7102.14590706753,16.58,1139.44,0
2024-03-11,21.92,7062.144277252713,16.92,1156.3600000000001,0
2024-03-12,22.41,7022.142647437897,17.41,1173.7700000000002,0
2024-03-13,22.74,6982.14101762308,17.74,1191.5100000000002,0
2024-03-14,22.17,6942.139387808263,17.17,1208.6800000000003,0
2024-03-15,22.34,6902.137757993446,17.34,1226.0200000000002,0
2024-03-16,22.02,6862.136128178629,17.02,1243.0400000000002,0
2024-03-17,22.36,6822.134498363812,17.36,1260.4,0
2024-03-18,22.94,6782.132868548995,17.94,1278.3400000000001,0
2024-03-19,22.71,6742.131238734179,17.71,1296.0500000000002,0
2024-03-20,22.72,6702.129608919361,17.72,1313.7700000000002,0
2024-03-21,21.42,6662.1279791045445,16.42,1330.1900000000003,0
