date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,26.44,5889.620884619233,21.44,21.44,0
2024-01-02,26.76,5931.6663973420955,21.76,43.2,0
2024-01-03,27.04,5973.711910064958,22.04,65.24000000000001,0
2024-01-04,27.16,6015.75742278782,22.16,87.4,0
2024-01-05,27.28,6057.802935510683,22.28,109.68,0
2024-01-06,26.8,6099.848448233545,21.8,131.48000000000002,0
2024-01-07,27.25,6141.893960956408,22.25,153.73000000000002,0
2024-01-08,27.25,6183.93947367927,22.25,175.98000000000002,0
2024-01-09,27.18,6225.984986402133,22.18,198.16000000000003,0
2024-01-10,26.96,6268.030499124996,21.96,220.12000000000003,0
2024-01-11,26.97,6310.076011847858,21.97,242.09000000000003,0
2024-01-12,26.88,6352.121524570721,21.88,263.97,0
2024-01-13,26.79,6394.167037293583,21.79,285.76000000000005,0
2024-01-14,27.03,6436.212550016446,22.03,307.7900000000001,0
2024-01-15,26.95,6478.258062739308,21.95,329.74000000000007,0
2024-01-16,27.0,6520.303575462171,22.0,351.74000000000007,0
2024-01-17,27.15,6562.349088185033,22.15,373.89000000000004,1
2024-01-18,27.12,6510.863868088298,22.12,396.01000000000005,0
2024-01-19,27.19,6459.3786479915625,22.19,418.20000000000005,0
2024-01-20,27.34,6407.893427894826,22.34,440.54,0
2024-01-21,27.36,6356.408207798091,22.36,462.90000000000003,0
2024-01-22,27.17,6304.922987701356,22.17,485.07000000000005,0
2024-01-23,26.91,6253.437767604621,21.91,506.9800000000001,0
2024-01-24,26.5,6201.952547507885,21.5,528.48,0
2024-01-25,26.41,6150.46732741115,21.41,549.89,0
2024-01-26,26.59,6098.982107314414,21.59,571.48,0
2024-01-27,26.46,6047.496887217679,21.46,592.94,0
2024-01-28,26.11,5996.0116671209435,21.11,614.0500000000001,0
2024-01-29,26.73,5944.526447024208,21.73,635.7800000000001,0
2024-01-30,26.81,5893.041226927473,21.81,657.59,0
2024-01-31,26.47,5841.556006830737,21.47,679.0600000000001,0
2024-02-01,26.37,5790.070786734002,21.37,700.4300000000001,0
2024-02-02,26.0,5738.585566637266,21.0,721.4300000000001,0
2024-02-03,26.06,5701.237925945379,21.06,742.49,0
2024-02-04,26.75,5663.890285253492,21.75,764.24,0
2024-02-05,27.29,5626.542644561605,22.29,786.53,0
2024-02-06,27.43,5589.195003869718,22.43,808.9599999999999,0
2024-02-07,26.88,5551.84736317783,21.88,830.8399999999999,0
2024-02-08,24.14,5514.499722485943,19.14,849.9799999999999,0
2024-02-09,24.88,5477.152081794055,19.88,869.8599999999999,0
2024-02-10,25.41,5439.804441102168,20.41,890.2699999999999,0
2024-02-11,25.51,5402.456800410281,20.51,910.7799999999999,0
2024-02-12,25.67,5365.109159718394,20.67,931.4499999999998,0
2024-02-13,26.48,5327.761519026507,21.48,952.9299999999998,0
2024-02-14,26.59,5290.413878334619,21.59,974.5199999999999,0
2024-02-15,26.51,5253.066237642732,21.51,996.0299999999999,0
2024-02-16,26.28,5215.718596950845,21.28,1017.3099999999998,0
2024-02-17,26.62,5178.370956258957,21.62,1038.9299999999998,0
2024-02-18,26.7,5141.02331556707,21.7,1060.6299999999999,0
2024-02-19,26.86,5145.2594156700925,21.86,1082.4899999999998,0
2024-02-20,26.5,5149.495515773115,21.5,1103.9899999999998,0
2024-02-21,26.42,5153.731615876138,21.42,1125.4099999999999,0
2024-02-22,25.83,5157.96771597916,20.83,1146.2399999999998,0
2024-02-23,26.05,5162.203816082182,21.05,1167.2899999999997,0
2024-02-24,26.77,5166.439916185205,21.77,1189.0599999999997,0
2024-02-25,26.9,5170.676016288227,21.9,1210.9599999999998,0
2024-02-26,26.55,5174.91211639125,21.55,1232.5099999999998,0
2024-02-27,26.43,5179.148216494272,21.43,1253.9399999999998,0
2024-02-28,26.47,5183.384316597294,21.47,1275.4099999999999,0
2024-02-29,26.32,5187.620416700317,21.32,1296.7299999999998,0
2024-03-01,25.98,5191.856516803339,20.98,1317.7099999999998,0
2024-03-02,25.98,5196.092616906361,20.98,1338.6899999999998,0
2024-03-03,26.2,5200.3287170093845,21.2,1359.8899999999999,0
2024-03-04,26.18,5204.564817112407,21.18,1381.07,0
2024-03-05,25.98,5208.800917215429,20.98,1402.05,1
2024-03-06,26.55,5199.35236604932,21.55,1423.6,0
2024-03-07,26.99,5189.903814883211,21.99,1445.59,0
2024-03-08,26.96,5180.455263717104,21.96,1467.55,0
2024-03-09,26.58,5171.006712550995,21.58,1489.1299999999999,0
2024-03-10,26.73,5161.558161384886,21.73,1510.86,0
2024-03-11,26.79,5152.109610218778,21.79,1532.6499999999999,0
2024-03-12,26.53,5142.661059052669,21.53,1554.1799999999998,0
2024-03-13,26.5,5133.212507886561,21.5,1575.6799999999998,0
2024-03-14,26.95,5123.763956720452,21.95,1597.6299999999999,0
2024-03-15,26.54,5114.315405554344,21.54,1619.1699999999998,0
2024-03-16,26.84,5104.866854388235,21.84,1641.0099999999998,0
2024-03-17,27.07,5095.418303222126,22.07,1663.0799999999997,0
2024-03-18,27.54,5085.969752056018,22.54,1685.6199999999997,0
2024-03-19,27.66,5076.52120088991,22.66,1708.2799999999997,0
2024-03-20,27.58,5067.072649723801,22.58,1730.8599999999997,0
