date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,21.63,1734.3964202750713,16.63,16.63,0
2024-01-02,21.58,1727.5833499154967,16.58,33.209999999999994,0
2024-01-03,20.97,1720.7702795559221,15.969999999999999,49.17999999999999,0
2024-01-04,20.88,1713.9572091963473,15.879999999999999,65.05999999999999,0
2024-01-05,20.92,1707.1441388367728,15.920000000000002,80.97999999999999,0
2024-01-06,20.94,1700.3310684771982,15.940000000000001,96.91999999999999,0
2024-01-07,20.86,1693.5179981176234,15.86,112.77999999999999,0
2024-01-08,20.03,1686.7049277580488,15.030000000000001,127.80999999999999,0
2024-01-09,19.68,1679.8918573984743,14.68,142.48999999999998,0
2024-01-10,19.68,1673.0787870388997,14.68,157.17,0
2024-01-11,19.81,1666.2657166793251,14.809999999999999,171.98,0
2024-01-12,20.28,1659.4526463197503,15.280000000000001,187.26,0
2024-01-13,21.53,1652.6395759601758,16.53,203.79,0
2024-01-14,22.15,1645.8265056006012,17.15,220.94,0
2024-01-15,22.72,1639.0134352410264,17.72,238.66,0
2024-01-16,23.22,1632.2003648814518,18.22,256.88,0
2024-01-17,23.07,1625.3872945218773,18.07,274.95,0
2024-01-18,23.04,1616.9115093027783,18.04,292.99,0
2024-01-19,22.22,1608.4357240836791,17.22,310.21000000000004,0
2024-01-20,21.34,1599.9599388645802,16.34,326.55,0
2024-01-21,21.63,1591.4841536454812,16.63,343.18,0
2024-01-22,21.13,1583.008368426382,16.13,359.31,0
2024-01-23,21.11,1574.532583207283,16.11,375.42,0
2024-01-24,20.71,1566.0567979881841,15.71,391.13,0
2024-01-25,21.3,1557.5810127690852,16.3,407.43,0
2024-01-26,23.53,1549.105227549986,18.53,425.96000000000004,0
2024-01-27,24.5,1540.629442330887,19.5,445.46000000000004,0
2024-01-28,24.48,1532.153657111788,19.48,464.94000000000005,0
2024-01-29,24.25,1523.677871892689,19.25,484.19000000000005,0
2024-01-30,23.77,1515.20208667359,18.77,502.96000000000004,0
2024-01-31,23.47,1506.726301454491,18.47,521.4300000000001,0
2024-02-01,23.16,1498.2505162353918,18.16,539.59,0
2024-02-02,24.34,1489.774731016293,19.34,558.9300000000001,0
2024-02-03,24.14,1486.915378872928,19.14,578.07,0
2024-02-04,23.87,1484.0560267295627,18.87,596.94,0
2024-02-05,22.65,1481.1966745861978,17.65,614.59,0
2024-02-06,22.58,1478.3373224428328,17.58,632.1700000000001,0
2024-02-07,22.23,1475.4779702994676,17.23,649.4000000000001,0
2024-02-08,23.11,1472.6186181561027,18.11,667.5100000000001,0
2024-02-09,23.45,1469.7592660127377,18.45,685.9600000000002,0
2024-02-10,23.97,1466.8999138693725,18.97,704.9300000000002,0
2024-02-11,24.73,1464.0405617260076,19.73,724.6600000000002,0
2024-02-12,24.74,1461.1812095826426,19.74,744.4000000000002,0
2024-02-13,24.92,1458.3218574392777,19.92,764.3200000000002,0
2024-02-14,25.06,1455.4625052959125,20.06,784.3800000000001,0
2024-02-15,24.75,1452.6031531525475,19.75,804.1300000000001,0
2024-02-16,24.82,1449.7438010091826,19.82,823.9500000000002,0
2024-02-17,24.11,1446.8844488658174,19.11,843.0600000000002,0
2024-02-18,24.68,1444.0250967224524,19.68,862.7400000000001,0
2024-02-19,24.92,1438.4792667315153,19.92,882.6600000000001,0
2024-02-20,24.19,1432.9334367405781,19.19,901.8500000000001,0
2024-02-21,23.4,1427.3876067496408,18.4,920.2500000000001,0
2024-02-22,22.65,1421.8417767587036,17.65,937.9000000000001,0
2024-02-23,23.07,1416.2959467677665,18.07,955.9700000000001,0
2024-02-24,22.54,1410.7501167768294,17.54,973.5100000000001,0
2024-02-25,22.93,1405.2042867858922,17.93,991.44,0
2024-02-26,24.78,1399.6584567949549,19.78,1011.22,0
2024-02-27,24.07,1394.1126268040177,19.07,1030.29,0
2024-02-28,24.83,1388.5667968130806,19.83,1050.12,0
2024-02-29,25.6,1383.0209668221435,20.6,1070.7199999999998,0
2024-03-01,25.43,1377.4751368312063,20.43,1091.1499999999999,0
2024-03-02,24.92,1371.9293068402692,19.92,1111.07,0
2024-03-03,26.3,1366.3834768493318,21.3,1132.37,0
2024-03-04,26.35,1360.8376468583947,21.35,1153.7199999999998,0
2024-03-05,27.1,1355.2918168674576,22.1,1175.8199999999997,0
2024-03-06,27.38,1354.2170513688757,22.38,1198.1999999999998,0
2024-03-07,27.89,1353.142285870294,22.89,1221.09,0
2024-03-08,27.32,1352.0675203717121,22.32,1243.4099999999999,0
2024-03-09,26.76,1350.9927548731305,21.76,1265.1699999999998,0
2024-03-10,26.42,1349.9179893745486,21.42,1286.59,0
2024-03-11,26.9,1348.843223875967,21.9,1308.49,0
2024-03-12,27.22,1347.768458377385,22.22,1330.71,0
2024-03-13,27.21,1346.6936928788032,22.21,1352.92,0
2024-03-14,26.32,1345.6189273802215,21.32,1374.24,0
2024-03-15,26.77,1344.5441618816396,21.77,1396.01,0
2024-03-16,26.33,1343.469396383058,21.33,1417.34,0
2024-03-17,25.62,1342.394630884476,20.62,1437.9599999999998,0
2024-03-18,25.38,1341.3198653858944,20.38,1458.34,0
2024-03-19,25.3,1340.2450998873126,20.3,1478.6399999999999,0
2024-03-20,25.58,1339.170334388731,20.58,1499.2199999999998,0
2024-03-21,25.36,1338.095568890149,20.36,1519.5799999999997,0
2024-03-22,26.38,1365.8195693637738,21.38,1540.9599999999998,0
2024-03-23,26.53,1393.5435698373983,21.53,1562.4899999999998,0
2024-03-24,27.17,1421.267570311023,22.17,1584.6599999999999,0
2024-03-25,26.42,1448.9915707846478,21.42,1606.08,0
2024-03-26,26.16,1476.7155712582726,21.16,1627.24,0
2024-03-27,24.99,1504.439571731897,19.99,1647.23,0
