date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,18.45,5207.20130700126,13.45,13.45,0
2024-01-02,22.26,5206.662332619017,17.26,30.71,0
2024-01-03,22.03,5206.123358236776,17.03,47.74,0
2024-01-04,21.12,5205.584383854533,16.12,63.86,0
2024-01-05,24.93,5205.045409472292,19.93,83.78999999999999,0
2024-01-06,25.07,5204.506435090049,20.07,103.85999999999999,0
2024-01-07,21.7,5203.967460707807,16.7,120.55999999999999,0
2024-01-08,18.46,5203.428486325565,13.46,134.01999999999998,0
2024-01-09,21.64,5202.889511943323,16.64,150.65999999999997,0
2024-01-10,21.23,5202.35053756108,16.23,166.88999999999996,0
2024-01-11,21.39,5201.811563178839,16.39,183.27999999999997,0
2024-01-12,23.54,5201.272588796596,18.54,201.81999999999996,0
2024-01-13,23.64,5200.733614414354,18.64,220.45999999999998,0
2024-01-14,22.35,5200.194640032112,17.35,237.80999999999997,0
2024-01-15,21.07,5199.65566564987,16.07,253.87999999999997,0
2024-01-16,21.28,5199.116691267628,16.28,270.15999999999997,0
2024-01-17,15.81,5198.577716885386,10.81,280.96999999999997,0
2024-01-18,16.78,5191.562389115502,11.780000000000001,292.75,0
2024-01-19,18.56,5184.547061345617,13.559999999999999,306.31,0
2024-01-20,23.04,5177.531733575734,18.04,324.35,0
2024-01-21,24.16,5170.51640580585,19.16,343.51000000000005,0
2024-01-22,18.97,5163.501078035965,13.969999999999999,357.48,0
2024-01-23,19.5,5156.485750266082,14.5,371.98,0
2024-01-24,22.83,5149.470422496198,17.83,389.81,0
2024-01-25,25.7,5142.455094726314,20.7,410.51,0
2024-01-26,25.72,5135.43976695643,20.72,431.23,0
2024-01-27,24.1,5128.424439186546,19.1,450.33000000000004,0
2024-01-28,25.69,5121.409111416662,20.69,471.02000000000004,0
2024-01-29,28.12,5114.393783646778,23.12,494.14000000000004,0
2024-01-30,23.58,5107.378455876894,18.58,512.72,0
2024-01-31,25.28,5100.36312810701,20.28,533.0,0
2024-02-01,24.32,5093.347800337126,19.32,552.32,0
