date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,22.21,1070.5952072136454,17.21,17.21,0
2024-01-02,21.26,1069.996671589078,16.26,33.47,0
2024-01-03,20.53,1069.3981359645106,15.530000000000001,49.0,0
2024-01-04,20.02,1068.7996003399433,15.02,64.02,0
2024-01-05,18.91,1068.2010647153759,13.91,77.92999999999999,0
2024-01-06,18.72,1067.6025290908085,13.719999999999999,91.64999999999999,0
2024-01-07,18.69,1067.0039934662411,13.690000000000001,105.33999999999999,0
2024-01-08,19.37,1066.4054578416738,14.370000000000001,119.71,0
2024-01-09,19.22,1065.8069222171061,14.219999999999999,133.93,0
2024-01-10,18.28,1065.2083865925388,13.280000000000001,147.21,0
2024-01-11,18.62,1064.6098509679714,13.620000000000001,160.83,0
2024-01-12,19.27,1064.011315343404,14.27,175.10000000000002,0
2024-01-13,20.47,1063.4127797188366,15.469999999999999,190.57000000000002,0
2024-01-14,21.47,1062.8142440942693,16.47,207.04000000000002,0
2024-01-15,22.18,1062.215708469702,17.18,224.22000000000003,0
2024-01-16,22.73,1061.6171728451345,17.73,241.95000000000002,0
2024-01-17,21.02,1061.0186372205671,16.02,257.97,0
2024-01-18,19.81,1061.1548103427522,14.809999999999999,272.78000000000003,0
2024-01-19,19.81,1061.2909834649372,14.809999999999999,287.59000000000003,0
2024-01-20,18.31,1061.4271565871222,13.309999999999999,300.90000000000003,0
2024-01-21,18.22,1061.5633297093073,13.219999999999999,314.12,0
2024-01-22,18.5,1061.6995028314923,13.5,327.62,0
2024-01-23,18.51,1061.8356759536773,13.510000000000002,341.13,0
2024-01-24,19.74,1061.9718490758623,14.739999999999998,355.87,0
2024-01-25,21.83,1062.1080221980474,16.83,372.7,0
2024-01-26,21.4,1062.2441953202324,16.4,389.09999999999997,0
2024-01-27,22.94,1062.3803684424174,17.94,407.03999999999996,0
2024-01-28,22.33,1062.5165415646024,17.33,424.36999999999995,0
2024-01-29,20.44,1062.6527146867875,15.440000000000001,439.80999999999995,0
2024-01-30,22.53,1062.7888878089725,17.53,457.3399999999999,0
2024-01-31,23.97,1062.9250609311575,18.97,476.30999999999995,0
2024-02-01,25.96,1063.0612340533426,20.96,497.2699999999999,0
2024-02-02,21.88,1063.1974071755276,16.88,514.15,0
2024-02-03,17.76,1064.0900907410296,12.760000000000002,526.91,0
2024-02-04,17.7,1064.9827743065316,12.7,539.61,0
2024-02-05,18.49,1065.8754578720334,13.489999999999998,553.1,0
2024-02-06,18.99,1066.7681414375354,13.989999999999998,567.09,0
2024-02-07,17.34,1067.6608250030374,12.34,579.4300000000001,0
2024-02-08,17.06,1068.5535085685392,12.059999999999999,591.49,0
2024-02-09,16.69,1069.4461921340412,11.690000000000001,603.1800000000001,0
2024-02-10,17.8,1070.3388756995432,12.8,615.98,0
2024-02-11,20.47,1071.2315592650452,15.469999999999999,631.45,0
2024-02-12,19.97,1072.1242428305472,14.969999999999999,646.4200000000001,0
2024-02-13,19.37,1073.016926396049,14.370000000000001,660.7900000000001,0
2024-02-14,21.51,1073.909609961551,16.51,677.3000000000001,0
2024-02-15,23.29,1074.802293527053,18.29,695.59,0
2024-02-16,25.06,1075.6949770925548,20.06,715.65,0
2024-02-17,25.2,1076.5876606580568,20.2,735.85,0
2024-02-18,21.32,1077.4803442235589,16.32,752.1700000000001,0
2024-02-19,18.69,1078.4143660349898,13.690000000000001,765.8600000000001,0
2024-02-20,19.28,1079.3483878464208,14.280000000000001,780.1400000000001,0
2024-02-21,19.23,1080.2824096578518,14.23,794.3700000000001,0
2024-02-22,18.72,1081.2164314692827,13.719999999999999,808.0900000000001,0
2024-02-23,19.95,1082.1504532807135,14.95,823.0400000000002,0
2024-02-24,22.12,1083.0844750921444,17.12,840.1600000000002,0
2024-02-25,24.7,1084.0184969035754,19.7,859.8600000000002,0
2024-02-26,20.33,1084.9525187150064,15.329999999999998,875.1900000000003,0
2024-02-27,18.98,1085.8865405264373,13.98,889.1700000000003,0
2024-02-28,20.66,1086.8205623378683,15.66,904.8300000000003,0
2024-02-29,20.01,1087.7545841492993,15.010000000000002,919.8400000000003,0
