date,T2M,NDVI,GDD_daily,GDD_cumsum,peak
2024-01-01,-4.58,1152.5226168830914,0.0,0.0,0
2024-01-02,-5.53,1152.9407384190895,0.0,0.0,0
2024-01-03,-6.25,1153.3588599550876,0.0,0.0,0
2024-01-04,-7.02,1153.7769814910857,0.0,0.0,0
2024-01-05,-7.66,1154.1951030270839,0.0,0.0,0
2024-01-06,-6.62,1154.613224563082,0.0,0.0,0
2024-01-07,-4.8,1155.03134609908,0.0,0.0,0
2024-01-08,-2.09,1155.4494676350782,0.0,0.0,0
2024-01-09,1.32,1155.8675891710764,0.0,0.0,0
2024-01-10,2.37,1156.2857107070745,0.0,0.0,0
2024-01-11,-0.2,1156.7038322430726,0.0,0.0,0
2024-01-12,-0.58,1157.1219537790707,0.0,0.0,0
2024-01-13,-0.51,1157.5400753150689,0.0,0.0,0
2024-01-14,-0.93,1157.958196851067,0.0,0.0,0
2024-01-15,-5.67,1158.376318387065,0.0,0.0,0
2024-01-16,-5.79,1158.7944399230632,0.0,0.0,0
2024-01-17,-1.17,1159.2125614590614,0.0,0.0,0
2024-01-18,-2.05,1208.6531432610748,0.0,0.0,0
2024-01-19,-4.98,1258.0937250630882,0.0,0.0,0
2024-01-20,-2.92,1307.5343068651016,0.0,0.0,0
2024-01-21,0.99,1356.974888667115,0.0,0.0,0
2024-01-22,2.47,1406.4154704691284,0.0,0.0,0
2024-01-23,2.32,1455.8560522711418,0.0,0.0,0
2024-01-24,0.9,1505.2966340731552,0.0,0.0,0
2024-01-25,-0.49,1554.7372158751687,0.0,0.0,0
2024-01-26,-1.49,1604.177797677182,0.0,0.0,0
2024-01-27,0.32,1653.6183794791955,0.0,0.0,0
2024-01-28,1.85,1703.058961281209,0.0,0.0,0
2024-01-29,1.78,1752.4995430832223,0.0,0.0,0
2024-01-30,0.93,1801.9401248852357,0.0,0.0,0
2024-01-31,1.27,1851.3807066872491,0.0,0.0,0
2024-02-01,1.96,1900.8212884892625,0.0,0.0,0
2024-02-02,0.93,1950.261870291276,0.0,0.0,1
2024-02-03,2.35,1940.1731842011852,0.0,0.0,0
2024-02-04,0.9,1930.0844981110945,0.0,0.0,0
2024-02-05,-0.65,1919.995812021004,0.0,0.0,0
2024-02-06,-2.39,1909.9071259309133,0.0,0.0,0
2024-02-07,-4.77,1899.8184398408225,0.0,0.0,0
2024-02-08,-5.04,1889.7297537507318,0.0,0.0,0
2024-02-09,-6.09,1879.641067660641,0.0,0.0,0
2024-02-10,-5.82,1869.5523815705506,0.0,0.0,0
2024-02-11,-5.87,1859.4636954804598,0.0,0.0,0
2024-02-12,-4.4,1849.375009390369,0.0,0.0,0
2024-02-13,-1.44,1839.2863233002784,0.0,0.0,0
2024-02-14,-0.31,1829.1976372101876,0.0,0.0,0
2024-02-15,0.95,1819.1089511200971,0.0,0.0,0
2024-02-16,1.59,1809.0202650300064,0.0,0.0,0
2024-02-17,0.2,1798.9315789399157,0.0,0.0,0
2024-02-18,-2.02,1788.842892849825,0.0,0.0,0
2024-02-19,-0.21,1885.427615332696,0.0,0.0,0
2024-02-20,0.48,1982.0123378155668,0.0,0.0,0
2024-02-21,1.0,2078.5970602984376,0.0,0.0,0
2024-02-22,1.43,2175.181782781309,0.0,0.0,0
2024-02-23,1.78,2271.7665052641796,0.0,0.0,0
2024-02-24,1.19,2368.3512277470504,0.0,0.0,0
2024-02-25,1.62,2464.935950229921,0.0,0.0,0
2024-02-26,0.44,2561.5206727127925,0.0,0.0,0
2024-02-27,-0.12,2658.1053951956633,0.0,0.0,0
2024-02-28,0.53,2754.690117678534,0.0,0.0,0
2024-02-29,1.34,2851.2748401614053,0.0,0.0,0
2024-03-01,1.51,2947.859562644276,0.0,0.0,0
2024-03-02,1.28,3044.444285127147,0.0,0.0,0
2024-03-03,0.74,3141.029007610018,0.0,0.0,0
2024-03-04,-0.29,3237.6137300928885,0.0,0.0,0
2024-03-05,0.08,3334.19845257576,0.0,0.0,0
2024-03-06,-0.88,3437.9841402633833,0.0,0.0,0
2024-03-07,-1.12,3541.7698279510064,0.0,0.0,0
2024-03-08,-1.32,3645.55551563863,0.0,0.0,0
2024-03-09,-1.07,3749.341203326253,0.0,0.0,0
2024-03-10,-1.74,3853.1268910138765,0.0,0.0,0
2024-03-11,-0.45,3956.9125787015,0.0,0.0,0
2024-03-12,0.05,4060.698266389123,0.0,0.0,0
2024-03-13,0.93,4164.483954076746,0.0,0.0,0
2024-03-14,2.33,4268.26964176437,0.0,0.0,0
2024-03-15,2.31,4372.055329451993,0.0,0.0,0
2024-03-16,1.45,4475.841017139617,0.0,0.0,0
2024-03-17,-1.35,4579.62670482724,0.0,0.0,0
2024-03-18,-2.36,4683.412392514863,0.0,0.0,0
2024-03-19,-0.14,4787.198080202486,0.0,0.0,0
2024-03-20,1.01,4890.98376789011,0.0,0.0,0
2024-03-21,0.94,4994.769455577733,0.0,0.0,1
2024-03-22,1.86,4983.619717320186,0.0,0.0,0
2024-03-23,1.92,4972.469979062638,0.0,0.0,0
2024-03-24,0.31,4961.320240805091,0.0,0.0,0
2024-03-25,-0.57,4950.170502547543,0.0,0.0,0
2024-03-26,-0.04,4939.020764289996,0.0,0.0,0
2024-03-27,1.56,4927.871026032448,0.0,0.0,0
2024-03-28,1.92,4916.721287774901,0.0,0.0,0
2024-03-29,2.28,4905.571549517354,0.0,0.0,0
2024-03-30,2.87,4894.4218112598055,0.0,0.0,0
2024-03-31,2.13,4883.272073002258,0.0,0.0,0
2024-04-01,1.37,4872.12233474471,0.0,0.0,0
2024-04-02,0.31,4860.972596487163,0.0,0.0,0
2024-04-03,-0.47,4849.822858229615,0.0,0.0,0
2024-04-04,-1.38,4838.673119972068,0.0,0.0,0
2024-04-05,-0.02,4827.52338171452,0.0,0.0,0
2024-04-06,0.04,4816.373643456973,0.0,0.0,0
2024-04-07,3.08,4825.993471583046,0.0,0.0,0
2024-04-08,4.81,4835.613299709119,0.0,0.0,0
2024-04-09,3.09,4845.233127835192,0.0,0.0,0
2024-04-10,4.77,4854.852955961265,0.0,0.0,0
2024-04-11,4.38,4864.472784087338,0.0,0.0,0
2024-04-12,5.42,4874.0926122134115,0.41999999999999993,0.41999999999999993,0
2024-04-13,4.98,4883.712440339485,0.0,0.41999999999999993,0
2024-04-14,3.85,4893.332268465558,0.0,0.41999999999999993,0
2024-04-15,2.52,4902.95209659163,0.0,0.41999999999999993,0
2024-04-16,2.28,4912.571924717703,0.0,0.41999999999999993,0
2024-04-17,1.7,4922.191752843776,0.0,0.41999999999999993,0
2024-04-18,1.38,4931.811580969849,0.0,0.41999999999999993,0
2024-04-19,1.05,4941.431409095922,0.0,0.41999999999999993,0
2024-04-20,0.02,4951.0512372219955,0.0,0.41999999999999993,0
2024-04-21,-0.08,4960.671065348069,0.0,0.41999999999999993,0
2024-04-22,0.35,4970.290893474142,0.0,0.41999999999999993,0
2024-04-23,0.91,5028.951548582197,0.0,0.41999999999999993,0
2024-04-24,2.87,5087.612203690252,0.0,0.41999999999999993,0
2024-04-25,2.96,5146.272858798306,0.0,0.41999999999999993,0
2024-04-26,2.65,5204.9335139063605,0.0,0.41999999999999993,0
2024-04-27,3.04,5263.5941690144155,0.0,0.41999999999999993,0
2024-04-28,3.46,5322.25482412247,0.0,0.41999999999999993,0
2024-04-29,5.61,5380.915479230525,0.6100000000000003,1.0300000000000002,0
2024-04-30,6.92,5439.57613433858,1.92,2.95,0
2024-05-01,6.73,5498.236789446634,1.7300000000000004,4.680000000000001,0
2024-05-02,7.59,5556.897444554689,2.59,7.2700000000000005,0
2024-05-03,7.24,5615.558099662744,2.24,9.510000000000002,0
2024-05-04,6.39,5674.218754770799,1.3899999999999997,10.900000000000002,0
2024-05-05,6.36,5732.879409878853,1.3600000000000003,12.260000000000002,0
2024-05-06,5.63,5791.540064986908,0.6299999999999999,12.89,0
2024-05-07,4.13,5850.200720094963,0.0,12.89,0
2024-05-08,3.54,5908.861375203018,0.0,12.89,0
2024-05-09,4.34,5999.871139246798,0.0,12.89,0
2024-05-10,5.26,6090.880903290577,0.2599999999999998,13.15,0
2024-05-11,5.61,6181.890667334357,0.6100000000000003,13.760000000000002,0
2024-05-12,5.87,6272.900431378137,0.8700000000000001,14.630000000000003,0
2024-05-13,9.34,6363.910195421917,4.34,18.970000000000002,0
2024-05-14,8.52,6454.919959465697,3.5199999999999996,22.490000000000002,0
2024-05-15,9.19,6545.929723509476,4.1899999999999995,26.68,0
2024-05-16,10.72,6636.939487553256,5.720000000000001,32.4,0
2024-05-17,12.47,6727.949251597036,7.470000000000001,39.87,0
2024-05-18,12.87,6818.959015640817,7.869999999999999,47.739999999999995,0
2024-05-19,11.85,6909.9687796845965,6.85,54.589999999999996,0
2024-05-20,9.35,7000.978543728376,4.35,58.94,0
2024-05-21,10.75,7091.988307772156,5.75,64.69,0
2024-05-22,11.28,7182.998071815936,6.279999999999999,70.97,0
2024-05-23,12.03,7274.007835859716,7.029999999999999,78.0,0
2024-05-24,11.64,7365.0175999034955,6.640000000000001,84.64,0
2024-05-25,13.06,7374.356647681972,8.06,92.7,0
2024-05-26,13.62,7383.695695460448,8.62,101.32000000000001,0
2024-05-27,12.71,7393.034743238925,7.710000000000001,109.03,0
2024-05-28,13.45,7402.373791017402,8.45,117.48,0
2024-05-29,14.03,7411.712838795879,9.03,126.51,0
2024-05-30,15.18,7421.051886574356,10.18,136.69,0
2024-05-31,16.91,7430.390934352832,11.91,148.6,0
2024-06-01,16.88,7439.729982131309,11.879999999999999,160.48,0
2024-06-02,15.06,7449.069029909786,10.06,170.54,0
2024-06-03,15.63,7458.408077688262,10.63,181.17,0
2024-06-04,15.52,7467.747125466739,10.52,191.69,0
2024-06-05,15.22,7477.086173245216,10.22,201.91,0
2024-06-06,14.31,7486.425221023693,9.31,211.22,0
2024-06-07,13.4,7495.76426880217,8.4,219.62,0
2024-06-08,13.46,7505.103316580646,8.46,228.08,0
2024-06-09,12.83,7514.442364359123,7.83,235.91000000000003,0
2024-06-10,12.21,7522.114822173179,7.210000000000001,243.12000000000003,0
2024-06-11,12.24,7529.787279987236,7.24,250.36000000000004,0
2024-06-12,12.35,7537.459737801292,7.35,257.71000000000004,0
2024-06-13,12.37,7545.132195615348,7.369999999999999,265.08000000000004,0
2024-06-14,12.61,7552.804653429404,7.609999999999999,272.69000000000005,0
2024-06-15,12.91,7560.477111243461,7.91,280.6000000000001,0
2024-06-16,13.67,7568.1495690575175,8.67,289.2700000000001,0
2024-06-17,14.06,7575.822026871574,9.06,298.3300000000001,0
2024-06-18,14.11,7583.494484685631,9.11,307.4400000000001,0
2024-06-19,14.3,7591.166942499687,9.3,316.7400000000001,0
2024-06-20,14.8,7598.839400313744,9.8,326.54000000000013,0
2024-06-21,14.14,7606.5118581278,9.14,335.6800000000001,0
2024-06-22,14.82,7614.184315941856,9.82,345.5000000000001,0
2024-06-23,16.2,7621.856773755912,11.2,356.7000000000001,0
2024-06-24,16.07,7629.529231569969,11.07,367.7700000000001,0
2024-06-25,16.56,7637.2016893840255,11.559999999999999,379.3300000000001,0
2024-06-26,17.37,7649.362249548195,12.370000000000001,391.7000000000001,0
2024-06-27,18.08,7661.522809712365,13.079999999999998,404.7800000000001,0
2024-06-28,18.84,7673.683369876535,13.84,418.62000000000006,0
2024-06-29,17.62,7685.843930040705,12.620000000000001,431.24000000000007,0
2024-06-30,16.51,7698.004490204875,11.510000000000002,442.75000000000006,0
2024-07-01,16.95,7710.165050369045,11.95,454.70000000000005,0
2024-07-02,16.34,7722.325610533215,11.34,466.04,0
2024-07-03,16.36,7734.486170697384,11.36,477.40000000000003,0
2024-07-04,16.46,7746.646730861555,11.46,488.86,0
2024-07-05,15.4,7758.807291025724,10.4,499.26,0
2024-07-06,15.19,7770.967851189895,10.19,509.45,0
2024-07-07,16.22,7783.128411354064,11.219999999999999,520.67,0
2024-07-08,15.5,7795.288971518235,10.5,531.17,0
2024-07-09,15.58,7807.449531682404,10.58,541.75,0
2024-07-10,16.27,7819.6100918465745,11.27,553.02,0
2024-07-11,16.92,7831.770652010744,11.920000000000002,564.9399999999999,1
2024-07-12,17.83,7829.145880475243,12.829999999999998,577.77,0
2024-07-13,17.2,7826.521108939742,12.2,589.97,0
2024-07-14,16.79,7823.8963374042405,11.79,601.76,0
2024-07-15,16.62,7821.271565868739,11.620000000000001,613.38,0
2024-07-16,17.68,7818.646794333238,12.68,626.06,0
2024-07-17,17.52,7816.022022797737,12.52,638.5799999999999,0
2024-07-18,17.01,7813.397251262236,12.010000000000002,650.5899999999999,0
2024-07-19,17.09,7810.772479726735,12.09,662.68,0
2024-07-20,17.36,7808.147708191233,12.36,675.04,0
2024-07-21,18.55,7805.522936655731,13.55,688.5899999999999,0
2024-07-22,18.94,7802.89816512023,13.940000000000001,702.53,0
2024-07-23,19.07,7800.273393584729,14.07,716.6,0
2024-07-24,18.88,7797.648622049228,13.879999999999999,730.48,0
2024-07-25,18.52,7795.023850513727,13.52,744.0,0
2024-07-26,19.16,7792.399078978226,14.16,758.16,0
2024-07-27,18.88,7789.774307442724,13.879999999999999,772.04,0
2024-07-28,18.35,7786.741175881988,13.350000000000001,785.39,0
2024-07-29,18.13,7783.708044321251,13.129999999999999,798.52,0
2024-07-30,18.02,7780.674912760514,13.02,811.54,0
2024-07-31,17.78,7777.641781199777,12.780000000000001,824.3199999999999,0
2024-08-01,17.49,7774.608649639041,12.489999999999998,836.81,0
2024-08-02,17.32,7771.5755180783035,12.32,849.13,0
2024-08-03,17.54,7768.542386517567,12.54,861.67,0
2024-08-04,17.79,7765.509254956831,12.79,874.4599999999999,0
2024-08-05,18.56,7762.4761233960935,13.559999999999999,888.0199999999999,0
2024-08-06,18.87,7759.442991835357,13.870000000000001,901.8899999999999,0
2024-08-07,19.22,7756.40986027462,14.219999999999999,916.1099999999999,0
2024-08-08,19.24,7753.3767287138835,14.239999999999998,930.3499999999999,0
2024-08-09,18.91,7750.343597153146,13.91,944.2599999999999,0
2024-08-10,18.74,7747.31046559241,13.739999999999998,957.9999999999999,0
2024-08-11,17.7,7744.277334031673,12.7,970.6999999999999,0
2024-08-12,16.91,7741.244202470936,11.91,982.6099999999999,0
2024-08-13,17.96,7731.4410400623465,12.96,995.5699999999999,0
2024-08-14,18.11,7721.637877653757,13.11,1008.68,0
2024-08-15,18.62,7711.834715245167,13.620000000000001,1022.3,0
2024-08-16,18.31,7702.031552836577,13.309999999999999,1035.61,0
2024-08-17,17.63,7692.228390427988,12.629999999999999,1048.24,0
2024-08-18,17.23,7682.425228019399,12.23,1060.47,0
2024-08-19,17.59,7672.622065610809,12.59,1073.06,0
2024-08-20,17.61,7662.818903202219,12.61,1085.6699999999998,0
2024-08-21,18.18,7653.015740793629,13.18,1098.85,0
2024-08-22,17.58,7643.21257838504,12.579999999999998,1111.4299999999998,0
2024-08-23,17.66,7633.40941597645,12.66,1124.09,0
2024-08-24,17.55,7623.606253567861,12.55,1136.6399999999999,0
2024-08-25,17.78,7613.803091159271,12.780000000000001,1149.4199999999998,0
2024-08-26,16.36,7603.999928750682,11.36,1160.7799999999997,0
2024-08-27,16.66,7594.196766342092,11.66,1172.4399999999998,0
2024-08-28,16.78,7584.393603933502,11.780000000000001,1184.2199999999998,0
2024-08-29,17.41,7595.2844761541455,12.41,1196.6299999999999,0
2024-08-30,17.68,7606.175348374789,12.68,1209.31,0
2024-08-31,15.8,7617.066220595433,10.8,1220.11,0
2024-09-01,14.13,7627.9570928160765,9.13,1229.24,0
2024-09-02,14.55,7638.84796503672,9.55,1238.79,0
2024-09-03,15.19,7649.738837257364,10.19,1248.98,0
2024-09-04,17.08,7660.6297094780075,12.079999999999998,1261.06,0
2024-09-05,18.32,7671.520581698651,13.32,1274.3799999999999,0
2024-09-06,17.58,7682.411453919294,12.579999999999998,1286.9599999999998,0
2024-09-07,17.83,7693.302326139938,12.829999999999998,1299.7899999999997,0
2024-09-08,18.31,7704.193198360582,13.309999999999999,1313.0999999999997,0
2024-09-09,18.41,7715.084070581225,13.41,1326.5099999999998,0
2024-09-10,17.34,7725.974942801869,12.34,1338.8499999999997,0
2024-09-11,16.52,7736.865815022513,11.52,1350.3699999999997,0
2024-09-12,14.5,7747.756687243156,9.5,1359.8699999999997,0
2024-09-13,14.49,7758.6475594638,9.49,1369.3599999999997,1
2024-09-14,15.08,7703.490042901147,10.08,1379.4399999999996,0
2024-09-15,14.36,7648.332526338494,9.36,1388.7999999999995,0
2024-09-16,14.09,7593.175009775841,9.09,1397.8899999999994,0
2024-09-17,15.06,7538.017493213189,10.06,1407.9499999999994,0
2024-09-18,14.28,7482.859976650536,9.28,1417.2299999999993,0
2024-09-19,14.98,7427.702460087883,9.98,1427.2099999999994,0
2024-09-20,15.0,7372.54494352523,10.0,1437.2099999999994,0
2024-09-21,13.67,7317.387426962578,8.67,1445.8799999999994,0
2024-09-22,12.5,7262.229910399924,7.5,1453.3799999999994,0
2024-09-23,14.95,7207.072393837271,9.95,1463.3299999999995,0
2024-09-24,15.44,7151.914877274618,10.44,1473.7699999999995,0
2024-09-25,16.0,7096.757360711966,11.0,1484.7699999999995,0
2024-09-26,14.68,7041.599844149313,9.68,1494.4499999999996,0
2024-09-27,14.04,6986.44232758666,9.04,1503.4899999999996,0
2024-09-28,10.83,6931.2848110240075,5.83,1509.3199999999995,0
2024-09-29,10.61,6876.127294461355,5.609999999999999,1514.9299999999994,0
2024-09-30,11.49,6903.010936450421,6.49,1521.4199999999994,0
